Data,Y,XAU BGNL_rolling_std,ECSURPUS_rolling_std,BDIY_rolling_std,CRY_rolling_std,DXY_rolling_std,JPY_rolling_std,GBP_rolling_std,Cl1_rolling_std,VIX_rolling_std,USGG30YR_rolling_std,GT10_rolling_std,USGG2YR_rolling_std,USGG3M_rolling_std,US0001M_rolling_std,GTDEM30Y_rolling_std,GTDEM10Y_rolling_std,GTDEM2Y_rolling_std,EONIA_rolling_std,GTITL30YR_rolling_std,GTITL10YR_rolling_std,GTITL2YR_rolling_std,GTJPY30YR_rolling_std,GTJPY10YR_rolling_std,GTJPY2YR_rolling_std,GTGBP30Y_rolling_std,GTGBP20Y_rolling_std,GTGBP2Y_rolling_std,LUMSTRUU_rolling_std,LMBITR_rolling_std,LUACTRUU_rolling_std,LF98TRUU_rolling_std,LG30TRUU_rolling_std,LP01TREU_rolling_std,EMUSTRUU_rolling_std,LF94TRUU_rolling_std,MXUS_rolling_std,MXEU_rolling_std,MXJP_rolling_std,MXBR_rolling_std,MXRU_rolling_std,MXIN_rolling_std,MXCN_rolling_std
2000-02-22,1,9.715684423113165,0.1696431829570806,66.30413331940998,4.092699656240439,1.611643644884078,2.045950704614924,0.020295436972501017,1.3877165210723486,1.5229185639360203,0.255576472573931,0.12471300386621025,0.09816288698358613,0.15527441146931706,0.045861593019494044,0.1750170059764258,0.07497428130461048,0.06095548727203644,0.14661254412647648,0.14447128566241904,0.0725107545389616,0.06878468821862341,0.07767208237811302,0.09620786028673742,0.02726937930388309,0.09599280727022765,0.09452059488356433,0.08817677050755969,3.0297713256472365,1.3286413934470602,6.199026037170943,1.3021703494733219,2.6068241853514578,1.2746191214484075,4.2772742265985135,0.7665052418048333,37.80704286870609,2.617847170772922,19.25235285559117,36.8600144045653,11.783550277520673,35.98347802083881,2.4704838546710772
2000-02-29,1,8.79258345479438,0.17843432832224165,89.16731196918253,2.015645943966523,1.449908043061123,2.006347071527907,0.023589747571268988,0.9686490346771365,1.517604628855555,0.2522904599672294,0.1418577422900107,0.08663607518701098,0.14350593151836022,0.04031837581762715,0.16673831793162155,0.07437293414497868,0.0658070773440926,0.10383136511166707,0.13963148778464068,0.07234737629757468,0.06603894954602703,0.07359218384998172,0.09346249566129776,0.031664912232101106,0.09518203111732315,0.09523554758497248,0.08839198412267289,3.8069841832385634,2.1492423471229607,5.903479200155239,1.1754958426937467,2.7809839300232637,1.1212481140823982,4.749381117577337,0.7411566250511036,40.29113898802521,3.2091535748023436,19.550768953334433,35.00314312417426,12.335114800554454,32.68078837132647,2.6160775800350202
2000-03-07,0,8.406580472349937,0.15018924569958236,118.9211423391068,4.799807039772299,1.31931439626439,1.8661266225603816,0.025046623192225673,2.129841263926447,1.4059262325700324,0.1933696189265767,0.13429197047230074,0.08351532508354029,0.08747707182592507,0.03952937424968196,0.09881921926041441,0.05052957644031966,0.07056169202160849,0.0632078958298567,0.08128433340529204,0.048310996480639565,0.0661455825829502,0.09285831501091664,0.09243891161709113,0.044799022098170625,0.11983937662753466,0.11225523638226556,0.07686444468766354,4.465351263311988,2.6439995497442057,4.986300279384367,0.8234885143905052,2.997139064412699,1.2695378236642962,5.334953478620771,0.6029852718725675,37.329829448668015,5.090441556298946,19.496296962195004,33.97841808027699,12.27667164449172,29.40725104945569,2.5613342876971963
2000-03-14,0,8.083971501563774,0.11875023809499939,141.41714720573856,5.118338644149153,0.9568425257311721,2.1537011332653884,0.018190787830788726,2.1080006325109726,1.43227923587679,0.11853952525473901,0.13250714266462302,0.07556233629703721,0.07199768514797343,0.046682310303133606,0.07571531895071974,0.06516864568910738,0.056124012346808125,0.10339475900874319,0.06343237869311265,0.0596836900429493,0.04865818582334075,0.09033957103749196,0.050238952824998094,0.04537777933243158,0.1090441151443712,0.10150674385290531,0.0661912812558103,4.90800997398762,2.9909215891395156,4.6700963587486894,0.5889174895718016,2.9260368939509322,1.318480781592416,5.369734643616709,0.17425432972687396,37.51803026863303,4.637779127782525,28.6892557456288,34.85148053150819,23.252807510983633,25.91167479103172,2.1211789174890368
2000-03-21,0,6.442883486378421,0.0836329850625708,134.72423333468646,4.793215443281724,1.0184208130144148,2.2047448832007857,0.018544669366283486,2.1456578522792515,1.6147003260224904,0.09437311965960198,0.1592113001493234,0.07788605841380088,0.08452021454460903,0.08571603172824814,0.1132525622542045,0.11087659377713184,0.03598809326906238,0.12407754871546256,0.10592832257620831,0.10146216747424336,0.03160018083130401,0.09053149938530977,0.04641992593498534,0.06486322606252398,0.12210202603521575,0.1146560072564905,0.06414529637954113,5.2811448073491265,3.6395265717764,4.88002049175994,0.7337542082298216,2.27361333982886,1.390258335020947,4.52260580702262,0.1742543297268719,54.32024506396758,4.3580691443191535,28.650849567724524,29.513486182873507,24.60620343773185,25.75883972172509,1.850339737144802
2000-03-28,0,8.772198236745563,0.06032609796131434,93.54474355953431,4.072065113147682,0.9662445712285054,2.2710748451737572,0.01600892608158731,2.329712837403335,1.370540386993737,0.09764854374355983,0.14699740846435957,0.05921349588766094,0.06938882852311018,0.10522809691784944,0.12343284273914384,0.11968251652561816,0.029619009340043172,0.1509336025573902,0.11359493617150897,0.11107483534815178,0.031205921294030135,0.061425913563762466,0.03665995609588728,0.07359962474024413,0.11750562296575917,0.1104063921544938,0.05439494024088663,4.354652684198866,4.640321720168398,4.316000132397272,1.5807035805373757,2.020417024374185,1.3389808313290508,4.445449149732532,0.15907171189057318,67.58745949473432,4.9525039362018966,24.15739184912936,22.146076939483503,29.174954849599843,25.606311628934254,0.8166132149659874
2000-04-04,0,7.685099063710733,0.05661229884885776,68.31788443250655,4.641736128402225,0.9402279358903121,2.458351170233932,0.016657616590503074,2.9317725826179757,1.7321607755577821,0.13197943562756725,0.18302133625293263,0.09138901674135906,0.058168474525051084,0.10758695265204006,0.11973820649749817,0.11762369375824497,0.03570180734387138,0.19128637220271594,0.11206545706267536,0.10745763284728937,0.040186470123066205,0.07193515598555834,0.04041628620341299,0.06619775568055801,0.08434029709625966,0.07478636239315634,0.05535943159631213,6.23419831024246,4.887768898948038,5.7204412084245995,4.295779767344206,1.900075737838866,1.1339206111456488,3.839345033428866,0.983687740814422,76.45117069084016,4.016760718124336,29.89513417964616,24.213428584352187,28.972971805427438,29.911915606294688,0.7746827307570974
2000-04-11,0,5.165405529647613,0.05549088299205642,51.354973793521886,5.745596657648464,0.3557554001865315,1.7883392135881873,0.010367072415885002,3.555652106823994,1.9743160358776892,0.15916538269240177,0.2132946765571479,0.10409039112141709,0.04498412418366642,0.095137494486363,0.13629554721441026,0.12937855125100764,0.04148378914593808,0.15871507864874065,0.12480308299000138,0.12221760453037402,0.04580185065921747,0.10437409822821125,0.0517010638188423,0.04186429322966101,0.08315189772481271,0.07265082833074495,0.06165727084147639,6.791516767262107,5.002242263891915,6.539581317601144,4.823876133606779,1.8455589423055263,0.6525337064820489,2.537363648694241,1.2867242461826536,75.44991195677896,2.5737956036802676,31.76670973864067,25.182475955276832,24.93120496390774,20.005226697993148,0.5840865884927344
2000-04-18,0,5.089708102772532,0.05455229033645041,30.81357153067747,5.879938856177096,0.5113334575029025,1.031856856074845,0.010419761445035194,3.5810180781714136,1.9347868099612375,0.1437633637680489,0.18500797923590073,0.11019182408526619,0.03632590575018775,0.07510754194581758,0.106793971650799,0.09688972622326461,0.041667047617304866,0.14339422848184807,0.09778450554054631,0.09123360909539602,0.04379280219179042,0.12227759207561045,0.06350515539627291,0.034798056869669525,0.09087484852937984,0.07238948884498775,0.0588144782952551,6.7058407377452545,4.507245822535272,6.0002472171286785,5.1566554313911075,2.27353217954545,0.6097811082675191,1.8506387571658827,1.4095357898461471,68.3123474511431,3.2807207396285074,33.66668920319847,47.02634899713146,14.59100799416237,22.37757167982528,1.2476835679427016
2000-04-25,1,5.009163983093739,0.08478151191093941,23.788752844669002,4.126890331657013,1.2238172132424543,1.0205717351890364,0.010094788848944554,2.4821026033049782,1.902355682530773,0.11473364599719249,0.14670702907819835,0.11003008246665642,0.04001963803648814,0.049117933879300614,0.07802563681251966,0.07384862251673456,0.06215954893505375,0.12272695205986509,0.07276642344482787,0.07071404521363696,0.05575371010503195,0.12887960420854902,0.07084893385627934,0.04120043920246704,0.09546353080776683,0.07660815572646314,0.057172254343053765,6.310521448532241,3.4328180080205577,5.80501712396419,4.69234990373138,2.3483765821155527,0.610277220379599,1.775070032153179,1.4095357898461554,53.20150995887939,2.9943995343688847,34.00229277983638,56.186607072199465,12.061942511173427,21.16752060519689,1.8434698132545877
