Data,Y,XAU BGNL_rolling_mean,ECSURPUS_rolling_mean,BDIY_rolling_mean,CRY_rolling_mean,DXY_rolling_mean,JPY_rolling_mean,GBP_rolling_mean,Cl1_rolling_mean,VIX_rolling_mean,USGG30YR_rolling_mean,GT10_rolling_mean,USGG2YR_rolling_mean,USGG3M_rolling_mean,US0001M_rolling_mean,GTDEM30Y_rolling_mean,GTDEM10Y_rolling_mean,GTDEM2Y_rolling_mean,EONIA_rolling_mean,GTITL30YR_rolling_mean,GTITL10YR_rolling_mean,GTITL2YR_rolling_mean,GTJPY30YR_rolling_mean,GTJPY10YR_rolling_mean,GTJPY2YR_rolling_mean,GTGBP30Y_rolling_mean,GTGBP20Y_rolling_mean,GTGBP2Y_rolling_mean,LUMSTRUU_rolling_mean,LMBITR_rolling_mean,LUACTRUU_rolling_mean,LF98TRUU_rolling_mean,LG30TRUU_rolling_mean,LP01TREU_rolling_mean,EMUSTRUU_rolling_mean,LF94TRUU_rolling_mean,MXUS_rolling_mean,MXEU_rolling_mean,MXJP_rolling_mean,MXBR_rolling_mean,MXRU_rolling_mean,MXIN_rolling_mean,MXCN_rolling_mean
2000-02-22,1,292.65714285714284,0.23514285714285713,1374.7142857142858,165.74714285714285,103.13428571428572,107.73857142857142,1.624285714285714,28.40285714285714,22.928571428571427,6.434,6.606,6.5365714285714285,5.607857142857143,5.848428571428571,5.978428571428572,5.516857142857143,4.353714285714285,3.154285714285714,6.222428571428572,5.763857142857143,4.574,2.3644285714285718,1.7784285714285715,0.3354285714285714,4.6044285714285715,4.825142857142857,6.4761428571428565,872.7914285714286,474.2384285714285,997.4828571428571,547.3585714285714,307.667,118.27828571428572,234.90114285714284,122.94257142857143,1387.642857142857,129.86285714285714,999.4771428571429,886.9542857142858,215.16285714285712,253.87285714285713,31.102857142857143
2000-02-29,1,294.09285714285716,0.2951428571428571,1395.142857142857,167.5957142857143,103.9,108.32571428571428,1.614857142857143,29.068571428571428,23.052857142857142,6.358142857142858,6.570571428571428,6.549857142857143,5.658571428571428,5.867285714285714,5.941999999999999,5.511,4.371285714285714,3.2185714285714284,6.197428571428572,5.7628571428571425,4.598142857142856,2.3528571428571428,1.7977142857142856,0.33999999999999997,4.605428571428571,4.824142857142857,6.459857142857143,874.0242857142857,474.90999999999997,999.47,547.6371428571429,308.6705714285714,118.77799999999999,236.698,122.69114285714286,1375.8085714285717,131.0,1002.92,889.4842857142856,211.57714285714286,262.12428571428575,29.945714285714285
2000-03-07,0,294.7142857142857,0.3581428571428571,1423.2857142857142,169.72857142857143,104.49285714285715,108.41571428571429,1.606,29.822857142857142,23.454285714285714,6.272142857142858,6.517,6.5528571428571425,5.723714285714285,5.888285714285715,5.878714285714286,5.480714285714285,4.392428571428572,3.2542857142857144,6.1461428571428565,5.736571428571428,4.619285714285715,2.318,1.8015714285714286,0.3505714285714286,4.545857142857143,4.765285714285715,6.4148571428571435,875.9857142857143,475.8375714285714,1001.8728571428571,548.0400000000001,309.9342857142857,119.36757142857142,238.8615714285714,122.43971428571429,1360.26,132.7642857142857,1003.0257142857143,888.5657142857143,211.54999999999998,270.2185714285714,29.060000000000002
2000-03-14,0,295.0642857142857,0.40857142857142864,1462.857142857143,170.93285714285713,104.89142857142858,108.24428571428572,1.5952857142857142,30.31,23.65285714285714,6.194428571428572,6.459857142857143,6.558,5.7700000000000005,5.914714285714285,5.837142857142857,5.458428571428571,4.425285714285714,3.307142857142857,6.112,5.718857142857142,4.643571428571428,2.3222857142857145,1.8285714285714287,0.3701428571428571,4.506428571428571,4.729571428571428,6.387428571428572,877.2742857142857,477.09742857142857,1002.8000000000001,548.2128571428572,311.1352857142857,119.86171428571429,241.04314285714287,122.18828571428573,1351.4742857142858,134.49571428571429,998.4857142857144,885.8957142857143,218.18714285714285,273.1271428571428,28.330000000000002
2000-03-21,0,296.2185714285714,0.46214285714285713,1507.5714285714287,171.5614285714286,105.01857142857143,108.11999999999999,1.5897142857142856,30.27857142857143,23.40285714285714,6.1295714285714284,6.390714285714286,6.547714285714285,5.8,5.947285714285714,5.782857142857144,5.424428571428572,4.438857142857143,3.334285714285714,6.064857142857143,5.689285714285714,4.650714285714286,2.323571428571429,1.8448571428571428,0.38871428571428573,4.466714285714286,4.696,6.3624285714285715,879.5328571428572,478.75,1004.59,548.1357142857142,312.4904285714286,119.95228571428572,243.61057142857143,122.14171428571429,1361.717142857143,136.03,995.7214285714284,894.84,224.98142857142855,273.22285714285715,27.537142857142857
2000-03-28,0,293.57571428571424,0.4992857142857143,1557.5714285714287,172.22142857142856,105.20571428571428,107.63857142857144,1.5864285714285713,30.145714285714288,23.91857142857143,6.093285714285714,6.324714285714285,6.536285714285715,5.8298571428571435,5.981571428571428,5.75,5.3952857142857145,4.449571428571429,3.3814285714285717,6.038142857142858,5.664571428571429,4.651857142857142,2.3048571428571427,1.8385714285714285,0.40771428571428575,4.458285714285714,4.686714285714286,6.357142857142857,881.1,480.697,1006.0071428571429,547.5871428571428,313.30442857142856,120.27799999999999,245.49085714285712,122.09514285714285,1370.6985714285713,137.17428571428573,992.0814285714285,890.4471428571429,232.1828571428571,273.4542857142857,26.967142857142857
2000-04-04,0,291.2185714285714,0.5335714285714286,1598.0,171.71142857142854,105.27428571428572,107.05714285714285,1.587142857142857,29.48714285714286,24.518571428571427,6.025714285714286,6.230857142857142,6.490571428571428,5.849285714285714,6.017428571428572,5.702714285714286,5.341,4.445571428571428,3.4528571428571433,5.995,5.617142857142857,4.642428571428572,2.29,1.8358571428571426,0.4228571428571429,4.432571428571428,4.657000000000001,6.359000000000001,884.5157142857142,482.70014285714285,1009.3685714285714,545.9771428571429,313.38585714285716,120.48542857142857,246.67842857142858,122.4252857142857,1384.41,138.23000000000002,996.6085714285715,887.472857142857,241.1942857142857,264.4757142857143,26.789999999999996
2000-04-11,0,287.81857142857143,0.5352857142857143,1627.0,170.82142857142858,105.65428571428572,106.50285714285715,1.582857142857143,28.704285714285714,24.717142857142857,5.980571428571428,6.162428571428571,6.459142857142857,5.860714285714286,6.053142857142857,5.672142857142857,5.304857142857143,4.439285714285714,3.507142857142857,5.969857142857142,5.584857142857142,4.6331428571428575,2.2535714285714286,1.8190000000000002,0.43857142857142856,4.429714285714286,4.6488571428571435,6.34857142857143,886.86,484.843,1010.6171428571428,544.4285714285714,313.4258571428572,120.7567142857143,247.76242857142856,122.75542857142855,1406.2414285714287,139.06714285714287,1002.4885714285714,886.6042857142857,248.77142857142854,256.94428571428574,26.577142857142857
2000-04-18,0,286.05428571428575,0.5365714285714286,1646.857142857143,170.44142857142856,105.75571428571428,105.75428571428571,1.5827142857142857,28.087142857142858,25.109999999999996,5.9477142857142855,6.112428571428571,6.4317142857142855,5.865285714285714,6.084142857142858,5.63542857142857,5.269571428571429,4.437857142857142,3.545714285714286,5.9388571428571435,5.551285714285714,4.627142857142857,2.210857142857143,1.800285714285714,0.44371428571428567,4.434285714285714,4.648714285714286,6.330857142857142,889.2200000000001,486.4592857142857,1011.47,542.9257142857143,313.10028571428575,120.79,248.12385714285713,123.13214285714285,1417.2685714285712,138.6757142857143,995.7757142857143,873.4800000000001,253.89857142857142,249.06857142857143,27.06142857142857
2000-04-25,1,284.1328571428572,0.5192857142857144,1653.2857142857142,168.84714285714287,106.13571428571429,105.7,1.5832857142857144,26.830000000000002,25.24285714285714,5.917857142857143,6.077428571428571,6.4314285714285715,5.862285714285714,6.1127142857142855,5.6160000000000005,5.255571428571429,4.450857142857143,3.5557142857142856,5.922571428571429,5.539142857142856,4.633857142857143,2.200428571428571,1.7897142857142856,0.4381428571428571,4.472571428571428,4.680142857142857,6.338,890.8114285714286,487.7938571428572,1011.7728571428571,541.5385714285715,312.6427142857143,120.79042857142858,248.21157142857143,123.50885714285714,1434.3657142857144,137.99428571428572,997.7614285714286,852.0685714285715,256.10285714285715,238.20428571428573,27.668571428571425
