Data,Y,XAU BGNL_pct_change,ECSURPUS_pct_change,BDIY_pct_change,CRY_pct_change,DXY_pct_change,JPY_pct_change,GBP_pct_change,Cl1_pct_change,VIX_pct_change,USGG30YR_pct_change,GT10_pct_change,USGG2YR_pct_change,USGG3M_pct_change,US0001M_pct_change,GTDEM30Y_pct_change,GTDEM10Y_pct_change,GTDEM2Y_pct_change,EONIA_pct_change,GTITL30YR_pct_change,GTITL10YR_pct_change,GTITL2YR_pct_change,GTJPY30YR_pct_change,GTJPY10YR_pct_change,GTJPY2YR_pct_change,GTGBP30Y_pct_change,GTGBP20Y_pct_change,GTGBP2Y_pct_change,LUMSTRUU_pct_change,LMBITR_pct_change,LUACTRUU_pct_change,LF98TRUU_pct_change,LG30TRUU_pct_change,LP01TREU_pct_change,EMUSTRUU_pct_change,LF94TRUU_pct_change,MXUS_pct_change,MXEU_pct_change,MXJP_pct_change,MXBR_pct_change,MXRU_pct_change,MXIN_pct_change,MXCN_pct_change
2000-02-29,1,0.03548102383053853,5.454545454545455,0.10302593659942372,0.0822841154775531,0.053301511535401636,0.03882486302663901,-0.04009720534629391,0.18083042297244867,0.03866666666666663,-0.07959826113026536,-0.0372540183265736,0.014467952706907372,0.06542572797640989,0.02283341982356002,-0.041659859500081775,-0.007399386392348051,0.02849860982391106,0.15570934256055358,-0.027685492801771794,-0.0012117015752121096,0.037597330367074466,-0.03344343517753923,0.07899356348741948,0.09248554913294815,0.0015435501653802142,-0.0014675052410900724,-0.017473942366646233,0.0099088341332354,0.009916780052526608,0.014039868786273058,0.0035711669474765007,0.023028483201499972,0.03003503228465454,0.054561938514794406,-0.014220843231363411,-0.05849786741236618,0.06230919765166343,0.024328935280994113,0.02067089966851854,-0.11188873534525035,0.26575871905769777,-0.23615160349854225
2000-03-07,0,0.015122544759256229,10.255813953488373,0.14021352313167257,0.09047936488697661,0.04074219516984101,0.00597326253911068,-0.03785103785103772,0.18301559792027722,0.13069767441860458,-0.08922484066992742,-0.05557202133965622,0.0032482598607888047,0.08478988471550752,0.02533172496984326,-0.0708346658138791,-0.03756201275690996,0.03425133071048392,0.08250825082508251,-0.055581359343551684,-0.031244693496349174,0.03263506063947075,-0.10090984284532678,0.015297450424929249,0.21203438395415475,-0.08786346396965883,-0.0828140703517588,-0.047633449266596184,0.01579377221538425,0.013720803933874759,0.01698166545513291,0.005167863949567586,0.02897449419101683,0.03519319160548151,0.0654559441949718,-0.014220843231363411,-0.076176345019212,0.09536679536679538,0.0007444817803174963,-0.006949698450098407,-0.0008106839612578298,0.24951558921965833,-0.1893708002443495
2000-03-14,0,0.008532126066515877,2.6148148148148147,0.20248538011695905,0.05040660129155694,0.027243433258471006,-0.011316484345530009,-0.045454545454545414,0.1205799151343705,0.060382276281494285,-0.08200180886343089,-0.059772863120143516,0.005597014925373012,0.058252427184465994,0.03179240419316032,-0.048138957816377226,-0.02828649138712591,0.05386416861826704,0.11746031746031749,-0.03805126572201878,-0.0215277777777777,0.03768565728219908,0.013280212483399945,0.11630769230769245,0.4675767918088738,-0.058836069068428865,-0.05102040816326525,-0.029443336911516682,0.010326273611906078,0.018655745542315305,0.006505091813006292,0.0022132796780682806,0.027457614940182618,0.02931480147463872,0.0657128103618918,-0.014220843231363411,-0.04437453551045145,0.09582542694497143,-0.03260055599437861,-0.021072688938247652,0.21427912554192408,0.08738197424892702,-0.15742452248921746
2000-03-21,0,0.02857648099027399,1.9633507853403138,0.2387490465293669,0.026370991908900354,0.00848265345024779,-0.008066759388038802,-0.024208566108007368,-0.007795889440113335,-0.07462686567164178,-0.07068348123929624,-0.07312282822178573,-0.010952236081533284,0.03679046951646803,0.038742565845369725,-0.06393001345895022,-0.04359772852170718,0.021960240406842413,0.05757575757575761,-0.053329023917259244,-0.03625218914185635,0.011013215859030812,0.0038626609442060644,0.06440677966101682,0.3571428571428572,-0.06052688874374035,-0.04901960784313719,-0.02706046080098956,0.0181469663230871,0.024443481843826165,0.012556242546923224,-0.0009865175928970293,0.031000303924548334,0.005260974193012968,0.0774848884634951,-0.002664966320057638,0.05175736838685929,0.08313336945584027,-0.019213202001747587,0.07430572038927141,0.2355738273317154,0.0028212902139128637,-0.17737296260786195
2000-03-28,0,-0.061997319034852505,0.8333333333333333,0.2740798747063431,0.027927219972193607,0.012569564383035914,-0.030832570905763856,-0.014276846679081245,-0.03319057815845827,0.16988235294117637,-0.0407639223238645,-0.06986239225767432,-0.011979634621144042,0.03681521930597165,0.04074011203530814,-0.03931623931623929,-0.03721269609631528,0.017084282460136713,0.10122699386503076,-0.030565544295521496,-0.030202513966480438,0.0017248814144028568,-0.052801289802498874,-0.022928608650338744,0.3704735376044568,-0.012972735268249824,-0.013632550335570315,-0.0057169344870211525,0.012574651245429225,0.028708768929061268,0.009932216626450607,-0.007004103967168329,0.0184117669867776,0.0191933732353462,0.05534623988696952,-0.002664966320057638,0.044527072488402375,0.05947872577411473,-0.024628351601616028,-0.032534518330423756,0.23123853211009182,0.006278583055577158,-0.12739463601532575
2000-04-04,0,-0.05429417571569595,0.6138107416879794,0.20315865039483127,-0.021052010850336256,0.004584965135161045,-0.03743217143382693,0.0031308703819663553,-0.15335994677312037,0.18324607329842935,-0.07572846621837992,-0.10027472527472525,-0.04828002414001209,0.023693379790940883,0.04268707482993195,-0.056101694915254297,-0.0683207479323984,-0.006336275175378936,0.15384615384615374,-0.04893858369794202,-0.05710354317165456,-0.014190496667383368,-0.04504114335210052,-0.010549694614103267,0.31831831831831825,-0.03873466752743715,-0.0427017039622255,0.0020388958594730333,0.027377340127096694,0.029508072526473583,0.02358377099787523,-0.020559315540799372,0.0018352936630852135,0.0122420072845002,0.03462076662946245,0.018891831796481462,0.07008550753211096,0.05658499234303238,0.03144285912725975,-0.023510546998509296,0.30832396500317705,-0.2174890995916673,-0.04483007953723783
2000-04-11,0,-0.07790507364975452,0.024144869215291687,0.13706954760297108,-0.03689446879071434,0.025755228505034866,-0.03498016588532271,-0.01855287569573283,-0.18501012829169483,0.053750966744006146,-0.05192244495563603,-0.07530262537336896,-0.033582659136009774,0.013879250520471897,0.04251700680272119,-0.037314734088927715,-0.046722068328716504,-0.009923319801533714,0.11874999999999991,-0.029240737664063876,-0.03986593755512435,-0.013984509466437034,-0.10934819897084047,-0.0634408602150538,0.36184210526315796,-0.004473272198613376,-0.01213282247765013,-0.011477987421383729,0.018672978231927262,0.03147967042883715,0.008661440732555592,-0.019734566440313683,0.0009000957959097722,0.016050645322154056,0.03159770804184148,0.018891831796481462,0.11613079723085562,0.044784103935804565,0.041686078308249996,-0.007017057913810243,0.2573008634908316,-0.16725357698042564,-0.053309481216457955
2000-04-18,0,-0.042107057620184185,0.01810865191146882,0.0907903331156108,-0.015628672150411305,0.006703172205438035,-0.04764935891606792,-0.0006329113924051777,-0.14196516595465003,0.11767222935387256,-0.037459283387622055,-0.054610703697924756,-0.029443336911516682,0.005535374502681156,0.03669879925587671,-0.043811796795090285,-0.0449090909090909,-0.002252759630547385,0.08083832335329344,-0.03530751708428237,-0.04072790294627371,-0.00900514579759859,-0.12772319521571995,-0.07104121475054226,0.09523809523809512,0.007045354469396692,-0.00020995171110649302,-0.019344773790951675,0.018781904794388238,0.023632573431422887,0.005942308840801935,-0.01919743061004764,-0.00730256791484285,0.0019422817225454025,0.010407025770757583,0.021614399763938197,0.05789481579263178,-0.020190111266671695,-0.046309710354886735,-0.10505792079774035,0.18014355267780968,-0.200399854598328,0.12938931297709932
2000-04-25,1,-0.046061643835616395,-0.25,0.028089887640449396,-0.06202067355785257,0.0250919724554286,-0.0035815268614514117,0.002538071065989911,-0.257837679460885,0.038255861785273515,-0.034011391375101674,-0.038443433233955715,-0.0003083564600677713,-0.003599588618443561,0.03361344537815136,-0.023403889175701242,-0.01804123711340222,0.020362497202953467,0.021341463414634276,-0.018688524590163902,-0.014899211218229569,0.010036301516122226,-0.03357865685372585,-0.041294642857142905,-0.0921985815602836,0.061908061908062084,0.048213894367740595,0.007939028262940573,0.012615224333567543,0.019474022129760016,0.002104636156060824,-0.017702825888787688,-0.010195798808845358,2.4712918266223127e-05,0.0024906499217107747,0.021614399763938197,0.09067010114019469,-0.033627070849488794,0.013973781566672061,-0.1631275917238978,0.06588948671961736,-0.26802706703319945,0.16013564431047467
2000-05-02,1,-0.05075966850828739,-0.30942622950819665,-0.013981762917933183,-0.010986508794899374,0.048098859315589326,0.03433803891644405,-0.010158730158730145,-0.15146733985484384,0.1675542810323638,-0.012972085385878462,0.001112523839796653,0.037569573283859015,0.0054366292898402335,0.04780146568954047,-0.019638512339242187,-0.002985631647695497,0.043333333333333446,0.11647727272727271,-0.013075140681893416,-0.0019517388218595055,0.03695791497543266,-0.04980340760157287,-0.04630650496141131,-0.172093023255814,0.00951302378255936,0.000645161290322438,-0.021014378258808697,0.007081992476091203,0.009924367967903303,-0.0031070436280709046,-0.018689200781150217,-0.014908388113977655,0.006792695176774721,-0.0063231594800957636,0.019311158833461795,0.06393693890956853,0.02893217893217903,0.09343088913631314,-0.08861605086151303,0.020206624126405615,-0.2372118724344806,0.07970749542961597
