VIX,GTITL2YR,GTITL10YR,GTITL30YR,MXJP,MXEU,LP01TREU,LG30TRUU,MXUS,LF98TRUU,MXIN,EONIA,EMUSTRUU,LF94TRUU,LUACTRUU,JPY,MXCN,MXRU,LMBITR,GTDEM30Y,GTDEM10Y,GTJPY10YR,GTDEM2Y,GTJPY30YR,GTJPY2YR,LUMSTRUU,DXY,GTGBP20Y,GTGBP30Y,GBP,ECSURPUS,BDIY,CRY,Cl1,Y,Data
16.49,2.557,4.382,5.145,622.0,80.61,119.615,436.489,1030.71,691.35,234.48,1.62,382.344,180.996,1429.21,107.41,24.39,458.52,643.399,4.896,4.249,1.286,2.606,2.04,0.115,1178.5,87.99,4.773,4.669,1.764,0.594,4761.0,237.92,31.95,0,2003-12-23
17.68,2.559,4.426,5.194,638.37,81.29,119.338,437.706,1043.34,693.05,245.63,2.28,382.69,181.752,1431.75,107.04,25.13,460.04,644.154,4.941,4.296,1.36,2.611,2.082,0.115,1181.11,87.0,4.822,4.714,1.779,0.538,4765.0,240.69,32.79,0,2003-12-30
16.73,2.477,4.388,5.186,646.29,82.66,120.074,443.277,1056.43,699.49,251.75,2.06,388.088,184.127,1434.02,106.2,26.5,485.79,644.622,4.926,4.262,1.365,2.534,2.104,0.115,1183.87,85.63,4.832,4.718,1.824,0.57,4764.0,247.19,33.7,0,2004-01-06
18.04,2.359,4.273,5.12,646.41,82.69,121.215,448.453,1053.85,707.2,256.41,2.04,392.722,187.189,1453.09,106.32,26.02,481.61,651.985,4.876,4.141,1.296,2.412,2.009,0.09,1191.14,85.51,4.687,4.6,1.842,0.609,5391.0,250.26,34.43,0,2004-01-13
15.21,2.51,4.272,5.127,659.39,84.11,122.238,448.577,1070.52,710.59,247.36,1.95,391.895,185.307,1453.87,107.2,26.54,488.7,652.199,4.892,4.137,1.275,2.398,2.065,0.085,1190.69,86.62,4.746,4.661,1.821,0.631,5418.0,253.56,36.2,0,2004-01-20
15.35,2.511,4.29,5.133,651.87,84.23,122.216,449.267,1075.18,711.42,248.94,1.92,392.048,185.53,1452.96,105.65,26.73,499.19,649.626,4.898,4.15,1.3,2.4,2.075,0.071,1190.82,86.25,4.779,4.664,1.826,0.614,5276.0,249.61,34.12,0,2004-01-27
17.34,2.548,4.336,5.15,637.77,83.54,122.109,442.986,1067.12,702.56,233.53,2.06,385.22,185.453,1449.5,105.56,25.28,490.19,649.433,4.914,4.206,1.295,2.441,2.099,0.07,1191.83,86.81,4.867,4.744,1.837,0.61,5664.0,247.21,34.1,0,2004-02-03
15.94,2.478,4.37,5.111,626.61,84.74,122.279,442.936,1075.46,701.2,248.58,2.02,384.806,187.525,1450.9,105.61,25.89,489.34,652.182,4.877,4.138,1.255,2.377,2.079,0.054,1193.42,85.84,4.784,4.669,1.87,0.504,5458.0,247.52,33.87,0,2004-02-10
15.4,2.387,4.311,5.07,643.85,85.6,123.01,446.469,1085.54,705.46,251.62,2.02,387.733,190.154,1459.64,105.77,26.95,516.1,655.264,4.836,4.083,1.27,2.288,2.08,0.049,1197.16,84.97,4.756,4.652,1.905,0.457,5290.0,255.39,35.19,0,2004-02-17
15.9,2.384,4.319,5.097,640.52,85.43,123.425,443.918,1068.46,701.47,237.67,2.04,386.689,189.075,1461.2,108.11,26.52,509.38,656.461,4.863,4.086,1.225,2.279,2.07,0.05,1198.76,86.15,4.804,4.711,1.891,0.302,5488.0,255.88,34.58,0,2004-02-24
14.86,2.391,4.307,5.082,681.79,87.32,123.833,443.675,1077.86,705.25,240.59,2.06,386.905,188.152,1461.39,110.12,26.93,546.46,656.657,4.843,4.07,1.335,2.281,2.235,0.074,1199.39,88.9,4.787,4.696,1.836,0.259,5150.0,263.56,36.66,0,2004-03-02
16.6,2.229,4.141,4.936,692.0,86.58,124.23,448.726,1069.69,710.3,241.23,1.84,394.469,191.224,1485.56,111.11,26.69,558.89,663.585,4.691,3.91,1.359,2.138,2.221,0.1,1207.09,88.43,4.651,4.571,1.839,0.173,5344.0,258.46,36.28,0,2004-03-09
20.34,2.261,4.166,4.965,678.69,83.14,124.059,447.026,1042.2,707.17,227.32,2.02,393.87,190.501,1487.85,108.91,25.49,546.94,663.593,4.712,3.926,1.288,2.167,2.176,0.095,1208.58,88.59,4.674,4.59,1.811,0.201,5204.0,267.79,37.48,0,2004-03-16
20.67,2.2,4.13,4.933,684.69,82.11,124.676,447.494,1025.84,706.62,222.75,2.0,395.596,191.785,1487.19,106.71,24.51,570.7,661.411,4.681,3.888,1.331,2.112,2.21,0.122,1207.58,87.85,4.667,4.568,1.853,0.008,5044.0,270.66,37.45,0,2004-03-23
16.28,2.178,4.194,5.007,709.56,84.05,124.726,447.305,1056.66,708.35,227.89,2.05,394.534,190.017,1474.79,105.61,24.43,585.37,654.018,4.763,3.943,1.449,2.128,2.316,0.125,1203.33,88.43,4.754,4.65,1.829,0.066,4886.0,267.14,36.25,0,2004-03-30
15.32,2.357,4.319,5.089,729.24,86.38,125.31,446.291,1075.95,707.1,240.15,2.02,393.552,187.528,1455.97,106.13,25.55,597.7,647.5,4.842,4.081,1.529,2.309,2.41,0.14,1196.15,88.62,4.872,4.746,1.839,0.044,4631.0,264.1,34.97,0,2004-04-06
17.26,2.414,4.382,5.14,731.56,87.39,125.627,445.338,1058.42,707.62,243.62,2.04,391.528,185.084,1445.96,106.86,25.6,608.41,644.996,4.89,4.144,1.482,2.37,2.516,0.129,1191.91,89.8,4.932,4.81,1.816,-0.025,4552.0,265.63,37.21,0,2004-04-13
16.67,2.428,4.381,5.124,725.53,87.33,125.601,443.009,1048.06,706.43,239.16,2.03,385.399,184.212,1439.58,108.4,23.24,571.69,644.914,4.877,4.151,1.529,2.389,2.484,0.129,1190.91,90.49,4.946,4.826,1.793,0.134,4640.0,264.49,37.6,0,2004-04-20
15.07,2.5,4.419,5.136,726.6,87.62,125.746,442.491,1067.48,707.17,235.38,2.02,382.686,183.313,1441.72,109.46,22.24,529.79,643.195,4.889,4.19,1.513,2.46,2.385,0.12,1189.05,90.41,4.958,4.84,1.789,0.157,4229.0,267.2,37.53,0,2004-04-27
16.55,2.478,4.388,5.137,712.49,85.69,125.538,437.697,1050.08,700.61,232.35,2.06,373.026,183.797,1430.33,109.95,22.28,502.17,639.201,4.885,4.157,1.52,2.433,2.416,0.14,1182.13,89.81,4.923,4.801,1.788,0.219,3933.0,272.96,38.98,0,2004-05-04
18.57,2.754,4.518,5.245,660.87,83.68,123.652,426.896,1027.51,686.83,219.98,1.83,362.85,180.329,1409.49,113.44,20.85,467.89,631.145,4.988,4.292,1.528,2.564,2.44,0.13,1170.88,91.66,5.044,4.915,1.755,0.292,3900.0,271.84,40.06,0,2004-05-11
19.33,2.726,4.517,5.245,655.23,82.55,121.909,426.94,1023.22,682.72,200.52,2.03,367.987,182.941,1413.23,114.24,19.67,498.39,630.9,4.988,4.293,1.528,2.534,2.43,0.125,1175.7,91.25,5.047,4.915,1.768,0.258,3452.0,268.94,40.54,0,2004-05-18
15.96,2.744,4.545,5.257,674.51,83.23,123.179,430.964,1043.83,688.46,211.54,2.03,369.937,185.175,1415.56,112.14,21.73,499.25,633.743,4.999,4.322,1.459,2.542,2.375,0.13,1176.43,89.84,5.081,4.924,1.814,0.156,3327.0,277.26,41.14,0,2004-05-25
16.3,2.767,4.559,5.271,689.82,83.65,123.92,433.112,1051.11,691.87,201.92,2.04,369.857,187.397,1419.0,110.37,22.4,452.02,635.608,5.012,4.369,1.539,2.582,2.4,0.14,1178.63,88.88,5.11,4.928,1.837,0.126,3282.0,284.03,42.33,0,2004-06-01
15.01,2.78,4.549,5.245,699.76,85.7,124.136,435.755,1069.87,694.2,206.99,2.12,373.232,186.795,1415.28,109.8,22.62,471.25,634.57,4.984,4.365,1.699,2.626,2.57,0.144,1180.55,88.51,5.073,4.874,1.835,0.201,3067.0,266.61,37.28,0,2004-06-08
15.05,2.836,4.521,5.176,693.8,85.17,124.929,435.004,1060.28,695.04,201.84,2.03,372.132,185.438,1421.55,109.43,21.98,437.41,635.721,4.911,4.346,1.799,2.679,2.725,0.227,1182.66,89.09,4.957,4.834,1.829,0.231,2810.0,263.07,37.19,0,2004-06-15
14.31,2.861,4.541,5.21,700.37,85.25,125.435,438.579,1062.58,699.93,199.45,2.03,375.207,185.683,1422.04,109.24,20.96,494.12,637.213,4.956,4.362,1.854,2.71,2.684,0.195,1183.73,89.43,4.99,4.866,1.82,0.31,2622.0,265.93,38.11,0,2004-06-22
15.47,2.849,4.556,5.213,715.1,86.06,125.698,439.291,1064.38,701.55,203.67,2.04,374.778,185.391,1423.44,108.18,22.11,462.64,637.885,4.959,4.371,1.83,2.776,2.725,0.176,1185.69,89.41,4.986,4.868,1.807,0.355,2895.0,260.55,35.66,0,2004-06-29
16.25,2.694,4.45,5.139,693.06,84.19,126.325,444.288,1045.63,706.32,206.82,2.04,381.13,189.752,1439.68,109.35,22.83,453.3,645.891,4.888,4.259,1.775,2.639,2.76,0.159,1199.27,88.12,4.909,4.803,1.843,0.177,3400.0,269.41,39.65,0,2004-07-06
14.46,2.715,4.46,5.154,702.54,84.0,126.572,446.713,1044.57,710.65,205.17,2.04,382.333,189.96,1441.65,109.23,21.85,481.31,647.308,4.897,4.267,1.751,2.653,2.74,0.149,1197.73,87.83,4.933,4.828,1.856,0.188,4086.0,268.05,39.44,0,2004-07-13
14.17,2.642,4.41,5.121,687.37,82.92,127.16,450.604,1038.72,715.43,207.89,2.04,386.943,190.588,1445.61,108.18,22.53,473.01,648.793,4.868,4.214,1.749,2.581,2.769,0.164,1199.69,87.83,4.895,4.799,1.855,0.199,3888.0,270.79,40.86,0,2004-07-20
16.55,2.774,4.48,5.137,672.4,82.58,127.329,446.013,1024.48,710.91,212.87,2.04,382.648,186.997,1435.8,110.97,22.5,437.36,646.486,4.883,4.289,1.835,2.717,2.835,0.199,1194.75,89.79,4.966,4.848,1.821,0.107,3832.0,268.51,41.84,0,2004-07-27
16.03,2.658,4.372,5.06,681.37,84.08,127.862,448.562,1029.58,712.87,217.51,2.08,387.399,188.534,1450.75,110.52,22.31,437.84,650.542,4.809,4.191,1.849,2.593,2.895,0.215,1204.29,89.57,4.89,4.726,1.826,0.152,4177.0,274.3,44.15,0,2004-08-03
17.47,2.525,4.247,4.973,666.81,81.43,128.102,452.448,1010.45,715.27,219.11,1.93,392.428,192.037,1461.86,110.87,21.84,434.85,656.486,4.717,4.065,1.62,2.459,2.635,0.18,1210.49,88.79,4.775,4.624,1.836,0.13,4088.0,273.76,44.52,0,2004-08-10
17.02,2.519,4.253,4.983,657.2,81.26,128.159,454.436,1012.78,717.01,212.7,2.04,396.43,192.547,1469.92,110.01,21.17,451.91,657.455,4.726,4.068,1.6,2.445,2.61,0.155,1215.95,88.06,4.797,4.648,1.829,0.054,4180.0,278.73,46.75,0,2004-08-17
15.33,2.572,4.299,5.017,673.43,82.27,128.469,456.321,1026.72,721.34,211.23,2.04,399.607,190.285,1467.0,109.59,21.97,449.47,657.696,4.759,4.115,1.586,2.501,2.575,0.155,1214.93,89.45,4.832,4.68,1.791,0.027,4213.0,278.1,45.21,0,2004-08-24
15.29,2.482,4.204,4.936,682.06,82.91,129.243,459.128,1034.65,725.15,216.34,2.04,402.232,191.914,1481.2,108.89,22.64,472.85,661.207,4.682,4.023,1.534,2.415,2.51,0.159,1220.96,88.94,4.77,4.624,1.804,-0.043,4186.0,272.52,42.12,0,2004-08-31
14.07,2.685,4.322,5.015,690.35,84.67,129.461,459.881,1050.54,726.8,220.03,2.01,402.853,189.616,1474.18,109.31,23.22,482.84,659.823,4.76,4.142,1.635,2.645,2.531,0.16,1218.3,89.23,4.826,4.679,1.774,-0.145,4018.0,268.6,43.31,0,2004-09-07
13.56,2.611,4.226,4.94,688.79,84.84,130.066,464.267,1057.22,733.29,225.92,2.04,404.947,192.239,1485.12,109.53,22.97,491.87,663.251,4.687,4.058,1.52,2.581,2.435,0.137,1223.42,88.46,4.767,4.624,1.8,-0.148,4205.0,272.83,44.39,0,2004-09-14
13.66,2.599,4.18,4.893,673.61,85.64,130.589,466.758,1058.61,735.69,232.45,2.04,410.173,192.344,1494.7,109.95,24.37,500.18,665.532,4.651,4.017,1.475,2.571,2.386,0.128,1225.61,88.13,4.742,4.604,1.795,-0.198,4229.0,280.12,47.1,0,2004-09-21
13.83,2.559,4.12,4.825,659.34,84.6,131.022,467.118,1040.16,736.6,226.65,2.04,408.374,194.461,1496.8,111.42,23.59,507.57,668.284,4.579,3.95,1.404,2.586,2.33,0.124,1225.46,88.11,4.69,4.557,1.811,-0.247,4106.0,286.7,49.9,0,2004-09-28
13.95,2.562,4.169,4.876,690.2,86.73,131.028,468.6,1063.2,737.42,239.72,2.05,411.097,192.705,1487.98,111.12,24.71,543.23,662.917,4.633,3.996,1.58,2.581,2.545,0.141,1222.32,88.17,4.752,4.63,1.784,-0.213,4157.0,291.75,51.09,0,2004-10-05
15.05,2.461,4.079,4.822,682.16,85.48,131.722,471.669,1051.5,741.2,236.19,2.33,415.067,193.868,1494.59,109.73,24.64,537.28,666.176,4.578,3.913,1.465,2.47,2.439,0.117,1226.91,88.02,4.675,4.57,1.788,-0.297,4408.0,293.68,52.51,0,2004-10-12
15.13,2.42,4.074,4.837,671.35,85.54,131.517,471.757,1034.48,741.2,239.55,2.06,412.362,195.781,1499.63,108.37,24.01,535.02,668.354,4.596,3.912,1.489,2.431,2.493,0.126,1230.03,86.84,4.658,4.548,1.804,-0.313,4625.0,293.77,53.29,0,2004-10-19
16.39,2.38,3.989,4.773,650.53,83.94,131.643,475.145,1040.94,745.87,236.32,2.05,413.582,199.478,1505.2,106.66,23.29,524.38,671.409,4.543,3.829,1.42,2.385,2.411,0.115,1231.99,85.21,4.616,4.514,1.835,-0.225,4877.0,300.61,55.17,0,2004-10-26
16.18,2.453,4.068,4.813,665.18,86.76,132.391,478.587,1059.26,751.89,240.62,2.09,416.653,198.39,1501.96,106.32,23.91,520.64,669.636,4.581,3.905,1.533,2.463,2.536,0.125,1232.09,85.47,4.711,4.591,1.839,-0.14,4950.0,285.86,49.62,0,2004-11-02
13.61,2.447,4.013,4.746,668.92,87.16,133.005,481.309,1090.1,755.3,248.16,2.12,416.731,199.703,1492.89,105.68,24.38,539.6,665.894,4.522,3.862,1.504,2.448,2.473,0.121,1230.08,84.21,4.637,4.5,1.859,-0.175,5060.0,284.16,47.37,0,2004-11-09
13.21,2.408,3.891,4.627,681.57,87.77,133.628,483.428,1101.63,756.7,250.85,2.08,419.469,201.528,1496.15,105.37,24.92,530.99,666.701,4.411,3.747,1.465,2.41,2.449,0.109,1230.27,83.8,4.547,4.431,1.854,-0.089,5191.0,283.95,46.11,0,2004-11-16
12.67,2.388,3.89,4.625,662.3,87.51,134.169,486.034,1103.3,759.22,251.65,2.07,421.64,203.41,1500.45,103.39,25.5,518.7,667.982,4.409,3.743,1.4,2.389,2.374,0.1,1233.42,82.94,4.525,4.397,1.873,-0.074,5514.0,291.02,48.94,0,2004-11-23
13.24,2.347,3.88,4.615,668.44,87.41,134.848,485.938,1100.66,758.0,261.06,2.08,418.862,204.847,1489.56,103.09,25.78,497.52,664.915,4.404,3.793,1.444,2.351,2.444,0.105,1229.6,81.82,4.541,4.432,1.91,-0.094,6051.0,292.21,49.13,0,2004-11-30
13.67,2.28,3.828,4.523,664.89,88.47,135.681,489.915,1103.27,761.95,263.23,1.82,423.198,207.603,1502.92,102.76,25.72,477.81,668.615,4.314,3.681,1.431,2.292,2.374,0.105,1236.41,81.24,4.52,4.418,1.945,-0.132,6200.0,273.0,41.46,0,2004-12-07
12.73,2.305,3.743,4.409,670.24,88.76,135.816,491.381,1127.8,765.78,263.44,2.09,425.022,207.649,1511.69,105.65,25.11,440.99,672.555,4.205,3.596,1.359,2.326,2.306,0.09,1238.43,82.32,4.471,4.375,1.926,-0.14,5551.0,275.08,41.82,0,2004-12-14
11.55,2.404,3.769,4.399,679.42,88.55,136.12,493.595,1130.86,767.79,268.63,2.08,427.875,209.115,1511.2,104.41,25.51,459.08,672.393,4.206,3.625,1.353,2.437,2.317,0.08,1236.92,81.94,4.441,4.345,1.926,-0.081,4812.0,285.36,45.76,0,2004-12-21
12.0,2.433,3.824,4.476,694.52,89.03,135.989,494.777,1138.78,768.45,271.68,2.08,427.843,209.914,1504.18,103.15,25.39,470.28,670.91,4.279,3.677,1.424,2.479,2.371,0.105,1234.35,80.72,4.426,4.336,1.931,-0.039,4598.0,276.19,41.77,0,2004-12-28
13.98,2.431,3.8,4.452,702.25,89.89,136.309,494.468,1114.56,770.68,275.27,2.21,427.061,206.893,1505.75,104.27,25.0,478.4,673.333,4.253,3.653,1.394,2.491,2.354,0.099,1235.97,82.52,4.491,4.399,1.883,0.027,4456.0,274.26,43.91,0,2005-01-04
13.19,2.372,3.733,4.373,702.31,89.61,136.517,491.396,1109.57,766.35,258.42,2.08,425.352,206.191,1509.73,103.24,23.95,472.24,675.026,4.181,3.598,1.39,2.428,2.354,0.095,1238.97,83.07,4.483,4.402,1.879,0.01,4726.0,279.21,45.68,0,2005-01-11
12.47,2.34,3.673,4.263,692.25,90.15,136.678,490.693,1122.29,765.51,255.71,1.97,425.947,206.101,1512.96,102.48,24.4,466.31,675.801,4.074,3.542,1.36,2.396,2.349,0.09,1242.06,83.36,4.507,4.435,1.868,0.027,4591.0,284.31,48.38,0,2005-01-18
14.06,2.328,3.676,4.253,685.84,90.39,137.034,491.813,1096.46,765.75,254.15,2.08,429.83,205.022,1516.13,104.26,24.36,471.49,676.823,4.07,3.554,1.331,2.39,2.355,0.091,1243.53,83.99,4.551,4.476,1.864,-0.011,4307.0,289.18,49.64,0,2005-01-25
12.03,2.328,3.653,4.214,690.82,91.8,137.601,494.146,1115.65,769.7,270.16,2.08,431.357,206.14,1522.02,103.69,24.55,496.55,679.714,4.023,3.534,1.295,2.399,2.299,0.088,1244.45,83.45,4.547,4.472,1.882,0.001,4470.0,282.89,47.12,0,2005-02-01
11.6,2.357,3.58,4.059,694.76,93.53,138.373,497.555,1127.94,776.71,270.23,2.04,436.864,206.391,1534.84,105.61,25.43,501.39,684.327,3.86,3.463,1.319,2.43,2.211,0.094,1247.83,85.1,4.419,4.321,1.856,0.0,4175.0,278.93,45.4,0,2005-02-08
11.27,2.347,3.635,4.159,704.8,94.66,139.201,499.534,1135.06,777.79,275.81,2.07,436.862,207.797,1529.92,104.31,25.74,503.32,682.919,3.959,3.513,1.454,2.426,2.455,0.119,1246.66,83.59,4.491,4.385,1.895,0.051,4511.0,287.37,47.26,0,2005-02-15
13.14,2.383,3.811,4.361,702.72,93.54,139.026,500.319,1110.56,778.0,271.66,2.06,434.908,206.834,1516.32,104.22,25.9,513.93,678.159,4.152,3.696,1.429,2.487,2.43,0.109,1242.8,82.41,4.636,4.526,1.908,0.134,4878.0,298.95,51.15,0,2005-02-22
12.04,2.381,3.851,4.408,711.22,94.42,139.759,501.275,1135.22,779.06,273.61,2.06,436.077,206.353,1512.23,104.4,26.59,544.9,676.206,4.207,3.733,1.489,2.481,2.469,0.135,1238.19,82.78,4.688,4.573,1.919,0.135,4663.0,303.37,51.68,0,2005-03-01
12.4,2.319,3.823,4.405,720.3,94.41,139.968,504.321,1144.05,781.53,282.69,2.02,439.848,208.148,1514.08,104.66,26.31,538.59,677.566,4.201,3.712,1.495,2.413,2.445,0.124,1240.67,81.98,4.766,4.669,1.928,0.078,4745.0,314.39,54.59,0,2005-03-08
13.15,2.322,3.821,4.416,716.8,93.89,139.489,499.48,1124.71,776.31,278.0,2.06,430.309,206.743,1500.25,104.36,25.96,530.59,673.963,4.205,3.712,1.465,2.432,2.424,0.119,1234.23,82.12,4.715,4.619,1.914,0.081,4685.0,320.81,55.05,0,2005-03-15
14.27,2.566,3.82,4.386,721.12,92.79,137.568,492.139,1100.63,765.05,269.62,2.06,425.911,205.3,1489.87,105.09,25.94,509.95,672.922,4.144,3.687,1.42,2.558,2.359,0.11,1230.41,83.36,4.731,4.649,1.898,0.026,4679.0,316.01,56.03,0,2005-03-22
14.49,2.603,3.841,4.399,706.05,93.29,137.875,487.127,1095.07,759.65,261.99,2.07,421.364,203.126,1491.06,107.58,25.21,509.68,672.047,4.16,3.703,1.345,2.588,2.3,0.11,1230.84,84.32,4.726,4.637,1.875,0.042,4672.0,310.43,54.23,0,2005-03-29
13.68,2.486,3.741,4.327,715.34,93.79,137.271,487.356,1109.65,758.81,269.88,2.07,425.295,205.058,1495.28,108.36,25.52,521.98,674.408,4.092,3.597,1.355,2.465,2.335,0.09,1238.18,84.66,4.686,4.615,1.877,0.056,4649.0,313.82,56.04,0,2005-04-05
11.3,2.424,3.687,4.33,708.85,94.07,138.073,490.286,1115.85,761.17,266.08,2.06,430.458,206.142,1502.88,108.21,25.64,529.12,676.519,4.102,3.545,1.34,2.408,2.334,0.09,1242.68,84.44,4.675,4.61,1.885,0.067,4753.0,303.97,51.86,0,2005-04-12
14.96,2.331,3.604,4.269,677.6,91.8,136.697,487.318,1083.94,754.31,251.63,2.07,429.549,209.431,1509.09,107.02,24.69,505.92,681.629,4.023,3.443,1.28,2.309,2.285,0.076,1251.03,83.76,4.568,4.51,1.915,-0.097,4735.0,304.44,52.29,0,2005-04-19
14.91,2.333,3.609,4.259,677.97,91.96,137.285,487.932,1083.28,755.1,260.34,2.06,431.198,208.622,1509.7,106.07,25.41,517.81,680.699,3.996,3.449,1.254,2.312,2.244,0.071,1248.5,83.96,4.549,4.486,1.904,-0.15,4172.0,308.3,54.2,0,2005-04-26
14.53,2.245,3.548,4.198,678.77,91.44,136.967,486.434,1092.2,751.17,255.37,2.09,433.301,208.591,1511.45,105.09,25.18,506.65,683.466,3.936,3.378,1.23,2.223,2.24,0.075,1251.11,84.51,4.485,4.424,1.892,-0.082,3815.0,292.27,49.5,0,2005-05-03
14.91,2.239,3.52,4.169,688.87,91.85,136.011,486.792,1097.58,751.42,264.91,2.06,434.414,208.686,1511.04,105.59,25.62,506.88,682.2,3.909,3.36,1.285,2.216,2.309,0.08,1251.15,84.45,4.497,4.443,1.882,0.02,4016.0,297.15,52.07,0,2005-05-10
14.57,2.242,3.481,4.112,669.8,91.93,133.901,480.19,1104.99,740.18,265.18,2.07,433.971,207.157,1513.02,107.15,24.46,481.22,685.978,3.847,3.303,1.294,2.224,2.37,0.095,1253.48,86.21,4.357,4.32,1.84,0.099,3695.0,286.43,48.97,0,2005-05-17
12.69,2.228,3.508,4.069,685.31,93.82,135.72,487.124,1124.35,753.16,269.96,2.07,438.784,207.341,1524.21,107.5,24.71,510.4,687.776,3.775,3.302,1.255,2.213,2.295,0.077,1257.4,86.37,4.342,4.296,1.828,0.012,3430.0,286.83,49.67,0,2005-05-24
13.29,2.158,3.488,4.091,689.95,94.72,137.174,491.456,1121.5,762.86,275.71,2.08,442.587,205.964,1533.0,108.03,25.06,509.35,688.227,3.805,3.274,1.239,2.141,2.288,0.08,1260.32,87.76,4.354,4.326,1.823,0.011,3219.0,292.08,51.97,0,2005-05-31
12.39,2.065,3.384,3.957,687.67,96.56,138.661,496.066,1127.45,772.94,278.77,2.04,443.912,207.361,1544.61,106.61,25.23,502.05,691.798,3.649,3.158,1.23,2.053,2.259,0.08,1262.69,87.49,4.265,4.233,1.835,-0.081,2995.0,300.26,53.76,0,2005-06-07
11.79,2.099,3.423,4.029,692.57,97.45,140.43,495.363,1133.34,772.4,281.93,2.08,444.212,203.667,1525.6,109.38,25.22,511.9,687.922,3.718,3.201,1.235,2.086,2.295,0.08,1257.75,89.3,4.327,4.283,1.806,-0.127,2705.0,300.55,55.0,0,2005-06-14
11.08,2.055,3.428,4.032,702.74,98.14,140.851,497.801,1142.72,774.97,290.89,2.07,447.013,205.331,1534.03,108.39,25.56,514.22,689.41,3.725,3.222,1.289,2.066,2.335,0.081,1261.55,88.12,4.366,4.326,1.826,-0.126,2510.0,311.03,58.9,0,2005-06-21
11.58,2.05,3.378,3.986,703.02,97.74,140.443,498.206,1131.95,775.84,289.36,2.08,448.952,206.104,1542.86,109.89,26.24,520.67,692.683,3.683,3.164,1.199,2.047,2.224,0.07,1264.0,88.99,4.263,4.238,1.816,-0.118,2606.0,304.48,58.2,0,2005-06-28
11.68,2.173,3.43,4.037,712.21,98.51,141.178,498.583,1135.38,778.47,296.99,2.08,448.726,202.227,1532.81,111.78,26.12,537.77,689.931,3.714,3.213,1.224,2.161,2.28,0.076,1260.32,90.44,4.291,4.268,1.754,-0.126,2434.0,309.76,59.59,0,2005-07-05
10.95,2.2,3.443,4.075,713.48,98.73,141.532,503.331,1152.02,784.14,298.75,2.03,451.003,204.001,1533.14,111.0,25.88,562.59,690.991,3.739,3.226,1.235,2.188,2.318,0.075,1260.92,88.35,4.343,4.322,1.776,-0.129,2345.0,311.68,60.62,0,2005-07-12
10.45,2.227,3.487,4.116,717.16,99.72,142.357,503.193,1159.0,786.88,301.5,2.08,450.112,200.902,1532.18,112.88,26.34,554.16,690.299,3.787,3.283,1.271,2.229,2.355,0.07,1261.46,89.85,4.371,4.351,1.738,0.035,2247.0,304.79,57.46,0,2005-07-19
10.99,2.214,3.446,4.061,714.25,100.11,142.596,503.752,1160.08,788.61,309.07,2.07,448.796,201.503,1530.99,112.22,27.4,569.02,689.536,3.745,3.239,1.26,2.212,2.38,0.079,1259.78,90.0,4.351,4.327,1.742,0.053,1951.0,306.13,59.2,0,2005-07-26
11.75,2.277,3.527,4.124,726.5,101.73,143.342,506.675,1172.72,790.3,317.33,2.11,451.806,202.849,1526.05,111.39,28.64,596.3,687.794,3.817,3.331,1.364,2.298,2.463,0.13,1256.87,88.76,4.403,4.364,1.771,0.162,1749.0,317.57,61.89,0,2005-08-02
12.4,2.314,3.575,4.155,725.38,101.71,142.884,506.174,1159.08,786.79,309.73,2.09,452.471,203.734,1520.91,112.08,28.61,614.61,686.605,3.833,3.372,1.409,2.341,2.45,0.126,1255.14,87.89,4.43,4.388,1.784,0.338,1907.0,314.67,63.07,0,2005-08-09
13.52,2.193,3.439,4.036,753.92,101.74,143.559,507.795,1148.46,789.15,315.13,2.08,454.906,206.793,1534.76,109.58,29.78,627.66,691.479,3.719,3.241,1.475,2.206,2.53,0.154,1261.93,87.39,4.326,4.283,1.807,0.282,2215.0,319.58,66.08,0,2005-08-16
13.34,2.201,3.382,3.976,766.99,101.54,144.465,508.682,1147.11,792.54,309.51,2.08,454.808,206.706,1540.11,109.76,28.43,640.85,692.856,3.657,3.176,1.45,2.212,2.52,0.145,1263.27,88.08,4.285,4.255,1.801,0.247,2612.0,317.56,65.71,0,2005-08-23
13.65,2.229,3.355,3.947,768.72,99.96,144.308,509.468,1138.83,793.88,314.58,2.08,456.247,207.786,1548.37,111.43,28.19,660.39,694.68,3.625,3.151,1.369,2.242,2.43,0.145,1266.89,88.35,4.227,4.205,1.784,0.179,2608.0,331.2,69.81,0,2005-08-30
12.93,2.156,3.284,3.889,777.95,102.83,144.548,512.349,1161.99,792.89,321.61,2.09,461.253,211.859,1547.82,109.67,28.52,666.31,696.227,3.566,3.077,1.315,2.156,2.368,0.135,1269.11,86.57,4.232,4.21,1.842,0.01,2418.0,329.36,65.96,0,2005-09-06
12.39,2.209,3.3,3.913,796.72,102.95,144.927,512.206,1160.63,793.96,331.92,2.08,463.0,210.398,1544.77,110.76,28.18,673.45,696.077,3.602,3.093,1.366,2.214,2.433,0.165,1268.65,87.75,4.219,4.19,1.823,0.041,2766.0,318.0,63.11,0,2005-09-13
12.64,2.222,3.284,3.879,818.81,104.34,144.87,509.768,1151.6,787.28,343.35,2.08,465.255,208.99,1534.94,111.69,28.75,726.65,693.212,3.572,3.086,1.364,2.23,2.401,0.16,1265.85,88.6,4.249,4.219,1.803,0.04,3011.0,325.16,66.23,0,2005-09-20
