Y,Data,XAU BGNL,ECSURPUS,BDIY,CRY,DXY,JPY,GBP,Cl1,VIX,USGG30YR,GT10,USGG2YR,USGG3M,US0001M,GTDEM30Y,GTDEM10Y,GTDEM2Y,EONIA,GTITL30YR,GTITL10YR,GTITL2YR,GTJPY30YR,GTJPY10YR,GTJPY2YR,GTGBP30Y,GTGBP20Y,GTGBP2Y,LUMSTRUU,LMBITR,LUACTRUU,LF98TRUU,LG30TRUU,LP01TREU,EMUSTRUU,LF94TRUU,MXUS,MXEU,MXJP,MXBR,MXRU,MXIN,MXCN
0,1/11/2000,283.25,0.077,1388.0,157.26,100.56,105.86,1.646,25.77,22.5,6.671,6.657,6.428,5.426,5.781,6.121,5.541,4.316,2.89,6.321,5.777,4.495,2.422,1.709,0.346,4.535,4.77,6.524,870.94,474.045,990.75,546.04,305.057,116.464,230.527,123.762,1416.12,127.75,990.59,856.76,224.33,217.34,34.3
0,1/18/2000,287.65,0.043,1405.0,165.01,101.86,105.47,1.638,28.85,21.5,6.747,6.748,6.465,5.378,5.803,6.254,5.644,4.321,3.03,6.459,5.889,4.535,2.418,1.765,0.349,4.746,4.975,6.613,869.33,473.223,990.48,545.68,305.303,117.267,231.377,123.762,1428.79,129.5,993.98,925.22,234.37,227.08,32.74
0,1/25/2000,287.15,0.135,1368.0,167.24,102.41,106.04,1.65,28.28,23.02,6.634,6.692,6.432,5.562,5.819,6.045,5.515,4.27,3.15,6.281,5.76,4.511,2.259,1.625,0.293,4.691,4.9,6.521,873.5,472.723,997.68,546.7,306.181,117.995,232.39,123.762,1385.93,126.48,974.83,886.93,216.82,233.0,32.46
0,2/1/2000,282.75,0.191,1311.0,166.85,104.92,107.85,1.611,28.22,23.45,6.423,6.619,6.574,5.708,5.885,5.944,5.459,4.326,3.3,6.188,5.71,4.54,2.33,1.77,0.364,4.593,4.794,6.467,871.22,473.255,997.91,547.38,305.997,120.51,231.942,122.328,1385.31,129.19,1007.12,842.6,201.89,237.48,31.29
1,2/8/2000,298.4,0.312,1277.0,165.43,104.22,109.3,1.611,28.02,21.25,6.231,6.613,6.678,5.677,5.891,5.85,5.482,4.39,3.26,6.118,5.728,4.638,2.481,1.919,0.359,4.548,4.768,6.472,872.39,474.733,998.77,548.25,309.476,118.791,237.812,122.328,1411.95,134.67,1034.58,945.15,218.0,258.02,31.32
1,2/15/2000,303.9,0.391,1393.0,169.58,104.69,108.73,1.597,30.06,22.92,6.246,6.552,6.628,5.74,5.88,5.9,5.562,4.419,3.25,6.171,5.814,4.651,2.309,1.801,0.333,4.647,4.871,6.376,873.35,475.192,997.72,548.17,310.577,118.608,240.116,122.328,1369.47,130.6,1007.86,885.56,204.59,288.98,27.66
1,2/22/2000,305.5,0.497,1481.0,168.86,103.28,110.92,1.617,29.62,25.86,6.086,6.361,6.551,5.764,5.88,5.735,5.415,4.434,3.2,6.019,5.669,4.648,2.332,1.86,0.304,4.471,4.698,6.36,878.81,476.498,1009.07,549.29,311.078,118.313,240.144,122.328,1315.93,130.85,987.38,866.46,206.14,315.21,27.95
1,2/29/2000,293.3,0.497,1531.0,170.2,105.92,109.97,1.58,30.43,23.37,6.14,6.409,6.521,5.781,5.913,5.866,5.5,4.439,3.34,6.146,5.77,4.664,2.341,1.844,0.378,4.542,4.763,6.41,879.57,478.746,1004.66,547.99,312.082,119.962,243.105,122.002,1333.28,135.71,1014.69,874.47,199.23,275.1,26.2
0,3/7/2000,292.0,0.484,1602.0,179.94,106.01,106.1,1.576,34.13,24.31,6.145,6.373,6.486,5.834,5.95,5.811,5.432,4.469,3.28,6.1,5.705,4.683,2.174,1.792,0.423,4.329,4.563,6.298,883.06,479.716,1007.3,548.5,314.149,121.394,246.522,122.002,1319.95,141.85,994.72,918.79,234.18,283.74,26.54
0,3/14/2000,289.6,0.488,1645.0,175.67,105.2,104.84,1.575,31.69,24.41,6.09,6.292,6.468,5.886,6.004,5.754,5.359,4.5,3.52,6.042,5.636,4.681,2.289,1.814,0.43,4.415,4.65,6.329,882.52,481.542,1004.17,547.91,314.588,121.454,247.661,122.002,1324.43,138.6,943.05,868.24,263.28,253.36,27.35
0,3/21/2000,290.83,0.566,1624.0,171.25,105.81,106.98,1.572,28.0,21.7,5.969,6.135,6.502,5.918,6.113,5.564,5.221,4.421,3.49,5.858,5.503,4.59,2.339,1.884,0.494,4.315,4.559,6.292,887.03,484.823,1010.44,546.84,315.483,121.144,249.914,122.002,1457.01,139.93,987.77,905.21,249.45,238.15,25.74
0,3/28/2000,279.9,0.572,1627.0,170.05,105.53,105.93,1.588,27.09,24.86,5.977,6.151,6.598,5.886,6.131,5.62,5.278,4.465,3.59,5.931,5.555,4.646,2.35,1.875,0.492,4.489,4.703,6.435,883.36,488.362,1008.69,544.41,315.174,121.071,250.974,122.002,1474.82,142.68,1009.1,914.4,268.41,259.64,27.33
0,4/4/2000,287.4,0.631,1676.0,166.01,105.17,104.66,1.602,25.45,27.12,5.773,5.895,6.308,5.876,6.131,5.569,5.182,4.391,3.75,5.869,5.482,4.585,2.205,1.782,0.439,4.467,4.663,6.389,897.26,489.214,1021.25,536.9,311.147,120.06,248.429,124.639,1465.45,137.99,1039.55,864.74,267.67,226.13,26.42
0,4/11/2000,281.7,0.509,1684.0,162.63,105.94,107.04,1.587,24.14,27.25,5.77,5.882,6.331,5.844,6.13,5.521,5.162,4.39,3.58,5.843,5.443,4.583,2.077,1.742,0.414,4.451,4.641,6.287,895.22,491.498,1017.81,538.45,311.358,120.212,247.732,124.639,1468.75,136.71,1028.54,860.38,259.18,262.49,26.46
0,4/18/2000,280.95,0.506,1670.0,167.54,106.63,104.73,1.579,26.11,26.12,5.91,6.059,6.329,5.813,6.13,5.609,5.253,4.429,3.61,5.929,5.535,4.622,2.042,1.713,0.414,4.574,4.762,6.286,896.09,490.06,1010.63,537.47,309.803,120.195,245.635,124.639,1410.47,132.97,967.7,782.6,235.12,219.97,29.59
1,4/25/2000,278.55,0.363,1647.0,168.78,108.67,105.72,1.58,25.33,25.24,5.936,6.128,6.484,5.813,6.15,5.675,5.334,4.56,3.35,5.986,5.62,4.73,2.101,1.718,0.384,4.597,4.783,6.348,894.2,489.058,1009.42,538.79,310.946,121.397,247.136,124.639,1439.63,137.08,1008.62,768.91,249.61,207.69,30.79
1,5/2/2000,274.9,0.337,1622.0,173.74,110.26,108.44,1.559,26.89,28.5,6.011,6.299,6.711,5.918,6.291,5.641,5.343,4.695,3.93,5.963,5.625,4.854,2.175,1.73,0.356,4.457,4.653,6.196,888.77,486.321,1001.05,537.67,309.898,122.279,246.095,124.358,1409.11,142.61,1031.16,791.3,268.6,193.26,29.53
1,5/9/2000,277.35,0.414,1609.0,177.22,110.75,109.48,1.532,28.65,28.93,6.213,6.529,6.843,6.138,6.461,5.62,5.355,4.786,4.03,5.989,5.705,4.956,2.147,1.711,0.32,4.495,4.712,6.29,878.13,480.6,986.94,537.98,306.686,121.607,240.071,124.358,1375.57,137.33,1012.28,743.21,272.04,200.09,28.12
1,5/16/2000,275.85,0.4,1612.0,182.08,111.31,109.73,1.499,29.73,24.34,6.113,6.424,6.872,6.211,6.57,5.567,5.348,4.852,3.9,5.975,5.706,5.028,2.201,1.744,0.343,4.487,4.718,6.336,879.56,479.047,990.92,538.5,306.731,120.103,239.814,124.358,1426.88,140.15,1002.21,780.03,261.52,183.77,32.29
0,5/23/2000,274.15,0.42,1598.0,182.56,111.44,106.78,1.475,28.78,25.87,6.16,6.435,6.788,5.938,6.61,5.545,5.342,4.958,3.79,6.033,5.743,5.151,2.326,1.716,0.314,4.612,4.835,6.267,882.42,478.655,990.46,535.5,303.868,117.021,236.653,124.358,1337.55,132.59,942.83,694.36,202.11,169.39,30.11
0,5/30/2000,273.35,0.336,1569.0,184.89,108.93,106.47,1.496,30.35,23.62,6.092,6.376,6.731,5.764,6.615,5.464,5.241,4.924,4.02,5.913,5.603,5.11,2.191,1.716,0.333,4.457,4.693,6.234,886.95,481.789,996.6,531.96,305.059,115.248,240.921,124.358,1379.85,135.69,943.51,782.02,226.74,181.38,28.38
0,6/6/2000,288.75,0.027,1559.0,184.25,106.59,105.86,1.527,29.75,23.05,5.908,6.122,6.492,5.985,6.623,5.409,5.138,4.76,4.16,5.895,5.527,4.96,2.283,1.716,0.483,4.412,4.628,6.13,904.13,487.542,1016.26,535.51,308.928,116.452,245.36,121.331,1412.52,139.1,983.03,830.49,234.24,196.46,32.6
0,6/13/2000,287.15,-0.018,1569.0,187.57,106.4,106.77,1.51,32.56,21.67,5.949,6.116,6.481,5.907,6.649,5.367,5.119,4.905,4.33,5.871,5.514,5.053,2.176,1.716,0.448,4.431,4.636,6.14,905.03,490.88,1020.87,538.48,311.496,115.91,248.424,121.331,1419.28,137.78,975.17,845.69,234.61,197.81,31.59
0,6/20/2000,286.6,-0.105,1599.0,185.33,106.64,105.28,1.513,33.05,20.88,5.896,6.02,6.427,5.797,6.648,5.367,5.112,4.853,4.24,5.878,5.514,5.035,2.177,1.716,0.423,4.502,4.713,5.985,908.57,495.038,1023.92,541.37,313.182,116.42,249.919,121.331,1425.88,138.75,969.96,873.11,221.53,212.98,32.69
0,6/27/2000,284.55,-0.109,1625.0,188.49,107.36,105.43,1.503,32.06,21.8,5.933,6.085,6.494,5.807,6.665,5.448,5.244,4.984,4.51,5.934,5.641,5.15,2.219,1.716,0.509,4.551,4.753,6.061,905.68,494.892,1019.62,541.69,313.082,116.769,249.682,121.331,1402.53,135.97,979.46,852.49,208.14,203.46,33.35
0,7/4/2000,286.85,-0.114,1610.0,187.3,107.29,106.18,1.515,32.5,19.83,5.867,5.989,6.294,5.895,6.64,5.476,5.269,5.01,4.75,5.929,5.629,5.164,2.236,1.716,0.483,4.478,4.673,5.971,910.98,496.605,1028.54,543.2,314.589,115.863,252.109,125.08,1421.65,136.71,1001.01,895.56,220.73,212.67,32.96
0,7/11/2000,282.5,-0.121,1601.0,182.88,107.09,107.08,1.513,29.7,20.11,5.885,6.048,6.309,6.127,6.63,5.491,5.244,5.021,4.31,5.933,5.564,5.171,2.334,1.716,0.497,4.491,4.682,5.957,913.47,499.117,1030.37,544.81,315.563,115.989,252.953,125.08,1429.53,137.9,999.85,874.91,219.43,210.57,35.12
0,7/18/2000,283.1,-0.118,1626.0,189.46,109.38,108.32,1.495,31.94,19.75,5.908,6.141,6.429,6.152,6.63,5.519,5.329,5.156,4.31,5.971,5.659,5.32,2.271,1.716,0.435,4.555,4.745,5.98,908.62,502.133,1029.61,547.1,317.09,116.255,254.774,125.08,1439.0,139.64,956.45,897.8,227.2,203.91,35.27
0,7/25/2000,279.2,-0.229,1629.0,179.91,108.31,109.24,1.518,27.95,19.39,5.807,6.028,6.333,6.184,6.62,5.428,5.218,5.11,3.98,5.883,5.555,5.268,2.359,1.759,0.438,4.441,4.634,6.023,914.82,502.512,1037.41,548.7,318.568,116.702,256.307,125.08,1418.85,138.14,932.36,883.09,227.44,187.73,34.41
0,8/1/2000,277.95,-0.133,1645.0,179.9,110.6,109.38,1.498,27.79,20.55,5.727,5.984,6.237,6.236,6.621,5.348,5.157,5.06,4.35,5.832,5.514,5.221,2.289,1.679,0.409,4.561,4.752,6.051,916.31,503.519,1040.2,546.73,318.375,116.071,257.523,124.024,1391.35,136.75,920.68,841.68,240.4,183.7,33.62
0,8/8/2000,273.1,-0.205,1647.0,182.84,111.32,108.55,1.502,29.12,18.79,5.731,5.918,6.16,6.263,6.618,5.398,5.193,5.058,4.33,5.856,5.541,5.217,2.28,1.694,0.428,4.538,4.731,5.997,923.6,505.968,1046.28,548.71,319.949,117.018,259.789,124.024,1428.75,138.31,911.28,861.1,253.6,185.28,33.19
0,8/15/2000,274.65,-0.23,1634.0,186.64,110.51,109.06,1.505,31.67,17.98,5.709,5.802,6.27,6.257,6.62,5.34,5.199,5.21,4.35,5.85,5.578,5.353,2.335,1.75,0.508,4.572,4.773,6.03,925.35,507.766,1045.94,547.07,320.1,116.124,260.992,124.024,1427.27,140.05,927.15,900.34,273.28,182.66,33.08
0,8/22/2000,273.65,-0.259,1627.0,188.32,111.79,108.3,1.482,31.22,17.47,5.712,5.775,6.26,6.279,6.62,5.361,5.244,5.264,4.27,5.793,5.588,5.462,2.45,1.805,0.52,4.641,4.837,6.048,926.32,509.449,1046.45,547.44,319.968,115.941,261.08,124.024,1435.93,140.42,928.87,866.95,269.6,193.8,33.43
0,8/29/2000,272.6,-0.296,1641.0,193.48,112.2,106.21,1.456,32.74,16.89,5.747,5.808,6.256,6.309,6.62,5.419,5.3,5.251,4.73,5.876,5.668,5.422,2.558,1.89,0.61,4.659,4.852,6.056,926.35,511.111,1046.82,548.36,320.804,115.131,262.217,124.024,1450.16,140.11,956.92,868.61,287.17,192.55,32.06
0,9/5/2000,275.65,-0.377,1671.0,197.57,112.32,105.86,1.452,33.83,19.82,5.667,5.689,6.078,6.238,6.62,5.367,5.209,5.148,4.6,5.83,5.578,5.331,2.645,1.955,0.655,4.606,4.807,6.022,932.97,511.351,1054.29,553.36,324.452,120.694,265.075,122.354,1442.61,143.36,925.11,879.38,275.27,201.88,32.26
1,9/12/2000,273.7,-0.303,1705.0,199.8,115.17,106.86,1.404,34.28,18.59,5.751,5.772,6.119,6.1,6.62,5.459,5.283,5.186,4.64,5.93,5.653,5.365,2.57,1.84,0.578,4.739,4.937,5.994,930.52,512.362,1050.71,555.43,323.721,117.183,263.768,122.354,1416.78,140.28,902.72,870.98,254.56,208.56,30.01
1,9/19/2000,271.8,-0.232,1725.0,200.32,116.11,106.97,1.407,36.51,19.54,5.908,5.852,6.067,6.152,6.624,5.637,5.318,5.064,4.53,6.072,5.702,5.262,2.644,1.847,0.579,4.738,4.936,5.926,932.01,510.77,1050.69,552.35,320.174,116.947,259.482,122.354,1394.02,137.94,914.59,819.8,229.78,185.62,27.81
1,9/26/2000,275.35,-0.21,1739.0,194.45,113.13,107.64,1.461,31.5,21.88,5.854,5.802,6.048,6.173,6.62,5.56,5.247,5.07,4.12,6.02,5.631,5.288,2.746,1.899,0.605,4.78,4.966,5.912,936.02,508.967,1056.76,551.46,320.517,115.222,260.567,122.354,1365.01,134.57,904.45,824.17,221.43,177.45,26.67
1,10/3/2000,272.05,-0.184,1729.0,195.18,114.22,108.68,1.458,32.07,21.85,5.94,5.867,5.995,6.253,6.62,5.613,5.242,5.002,4.91,6.028,5.603,5.242,2.713,1.829,0.584,4.697,4.879,5.864,937.77,508.621,1054.24,545.44,318.919,112.723,261.909,123.467,1358.24,136.82,922.49,814.03,247.12,176.43,27.3
1,10/10/2000,272.85,-0.073,1719.0,198.48,114.36,107.84,1.45,33.18,24.86,5.806,5.772,5.935,6.234,6.62,5.587,5.222,5.032,4.8,6.001,5.587,5.263,2.81,1.829,0.568,4.652,4.821,5.89,938.35,508.576,1054.66,545.29,319.078,112.463,262.326,123.467,1323.43,133.35,910.57,814.19,220.36,169.12,27.72
0,10/17/2000,270.4,-0.056,1727.0,197.51,115.89,108.16,1.445,32.99,27.84,5.767,5.673,5.831,6.299,6.619,5.598,5.219,5.005,4.73,6.04,5.604,5.263,2.967,1.83,0.521,4.655,4.808,5.811,943.41,510.31,1056.72,536.74,312.811,107.44,257.536,123.467,1279.95,131.93,882.09,762.9,229.03,157.63,25.86
0,10/24/2000,270.05,-0.116,1748.0,196.08,117.42,108.03,1.45,33.37,24.28,5.705,5.615,5.828,6.351,6.62,5.55,5.206,5.079,4.68,6.011,5.604,5.333,3.033,1.855,0.53,4.708,4.854,5.754,948.9,512.434,1061.77,536.06,311.37,109.04,255.666,123.467,1326.42,138.67,873.58,708.28,229.1,158.36,25.6
0,10/31/2000,264.68,-0.112,1759.0,190.53,116.65,109.15,1.449,32.7,23.63,5.788,5.751,5.914,6.389,6.62,5.593,5.215,5.082,4.85,6.034,5.599,5.322,2.996,1.808,0.503,4.582,4.763,5.785,945.32,514.172,1057.16,528.24,309.482,109.169,256.671,123.405,1361.95,139.34,860.75,756.14,214.92,163.1,26.09
0,11/7/2000,264.45,-0.15,1759.0,194.18,115.61,107.26,1.435,33.4,24.91,5.894,5.866,5.974,6.414,6.62,5.62,5.238,5.06,4.85,6.071,5.622,5.283,3.128,1.815,0.494,4.558,4.739,5.707,945.4,514.126,1055.82,524.84,307.034,107.944,254.432,123.405,1368.83,138.69,890.65,750.31,217.09,172.66,27.7
1,11/14/2000,264.45,-0.11,1732.0,197.05,116.22,108.1,1.43,34.87,26.81,5.819,5.753,5.907,6.361,6.62,5.622,5.186,4.987,4.81,6.068,5.578,5.219,2.812,1.782,0.515,4.512,4.695,5.64,949.3,513.581,1062.44,525.23,307.996,107.545,256.103,123.405,1320.88,136.99,853.25,727.54,199.22,171.57,25.88
1,11/21/2000,266.05,-0.07,1701.0,201.43,117.95,110.15,1.416,35.16,26.62,5.728,5.652,5.856,6.351,6.616,5.57,5.185,4.998,4.76,6.031,5.564,5.222,2.601,1.704,0.485,4.452,4.642,5.592,951.68,514.602,1059.54,522.78,307.889,105.13,258.193,123.405,1284.08,135.15,834.6,747.76,188.15,171.73,26.24
0,11/28/2000,269.3,-0.063,1683.0,199.86,116.63,110.14,1.417,34.22,27.64,5.675,5.582,5.795,6.278,6.616,5.453,5.077,4.948,4.83,5.927,5.464,5.164,2.52,1.703,0.498,4.144,4.445,5.538,955.39,515.685,1061.68,516.2,304.499,103.16,256.412,123.405,1272.86,133.65,837.18,687.39,178.13,176.35,22.72
1,12/5/2000,270.75,-0.232,1647.0,194.43,114.47,110.91,1.439,29.53,24.99,5.586,5.416,5.469,6.069,6.776,5.418,4.944,4.785,4.84,5.891,5.335,4.963,2.496,1.599,0.545,4.211,4.493,5.459,962.58,518.292,1071.62,505.64,302.027,99.441,258.467,124.27,1309.41,133.32,835.0,709.51,169.21,180.15,24.09
1,12/12/2000,270.9,-0.302,1598.0,197.34,114.26,111.44,1.447,29.68,24.88,5.53,5.346,5.518,6.089,6.714,5.494,4.986,4.788,4.83,5.931,5.363,4.929,2.585,1.64,0.61,4.301,4.571,5.402,965.96,523.703,1078.83,512.4,305.415,102.344,259.987,124.27,1309.69,134.94,855.16,734.56,180.25,187.03,24.53
1,12/19/2000,269.8,-0.307,1588.0,195.63,113.21,112.48,1.464,29.33,27.17,5.473,5.188,5.345,5.948,6.686,5.419,4.883,4.629,4.78,5.879,5.28,4.791,2.582,1.645,0.538,4.255,4.542,5.454,971.0,528.343,1086.89,516.17,308.385,103.833,262.548,124.27,1242.73,131.7,815.57,757.35,151.25,181.78,23.94
1,12/26/2000,274.9,-0.298,1598.0,194.52,110.31,113.65,1.479,26.64,28.73,5.432,5.036,5.126,5.758,6.646,5.406,4.865,4.536,4.85,5.874,5.273,4.672,2.54,1.605,0.481,4.272,4.555,5.289,975.23,529.932,1093.0,517.68,309.96,104.033,264.231,124.27,1246.34,126.39,810.45,729.45,152.58,165.42,22.25
1,1/2/2001,269.8,-0.218,1599.0,192.92,108.61,114.5,1.499,27.21,29.99,5.342,4.916,4.862,5.904,6.561,5.262,4.739,4.332,5.16,5.766,5.16,4.518,2.568,1.639,0.474,4.159,4.44,5.23,980.95,532.604,1100.86,518.34,311.147,104.288,265.27,128.549,1216.76,127.2,809.54,761.09,155.16,175.24,22.58
0,1/9/2001,267.6,-0.43,1593.0,195.82,109.52,116.67,1.489,27.64,27.99,5.429,5.0,4.659,5.286,5.884,5.295,4.75,4.321,4.78,5.741,5.136,4.496,2.51,1.55,0.405,4.285,4.534,5.223,985.27,538.828,1108.58,527.0,316.25,106.47,268.865,128.549,1233.25,125.89,803.34,819.0,161.56,180.12,24.0
0,1/16/2001,263.3,-0.434,1579.0,198.53,110.11,117.37,1.468,30.29,25.28,5.596,5.23,4.881,5.353,5.911,5.417,4.847,4.445,4.81,5.855,5.232,4.6,2.454,1.57,0.411,4.352,4.586,5.244,980.74,537.902,1100.84,535.9,320.338,109.737,269.596,128.549,1259.71,126.11,801.73,812.25,180.05,176.28,24.83
0,1/23/2001,265.7,-0.487,1552.0,200.67,110.34,117.01,1.47,29.57,21.57,5.652,5.281,4.828,5.265,5.726,5.404,4.846,4.39,4.72,5.835,5.222,4.549,2.336,1.479,0.34,4.385,4.605,5.279,982.12,536.963,1105.59,542.77,324.492,111.209,272.658,128.549,1288.41,128.14,818.87,858.01,184.47,185.71,26.05
0,1/30/2001,265.95,-0.479,1514.0,197.55,111.0,115.8,1.462,29.06,22.57,5.593,5.229,4.696,5.026,5.648,5.332,4.822,4.43,4.78,5.807,5.208,4.584,2.24,1.487,0.358,4.352,4.57,5.231,986.21,535.495,1114.42,549.73,328.574,112.515,276.426,128.549,1301.87,129.85,813.79,849.35,185.97,189.45,25.72
1,2/6/2001,263.05,-0.405,1472.0,200.69,110.7,114.93,1.458,30.35,21.98,5.501,5.183,4.687,5.078,5.574,5.252,4.774,4.427,4.77,5.736,5.164,4.563,2.237,1.5,0.381,4.326,4.542,5.243,988.4,538.179,1114.53,557.66,331.663,114.152,275.623,128.902,1281.55,128.73,786.21,817.66,179.72,190.05,25.57
1,2/13/2001,260.05,-0.328,1445.0,200.71,112.01,116.76,1.453,30.36,21.37,5.412,5.07,4.719,5.036,5.569,5.258,4.761,4.404,4.76,5.739,5.145,4.538,2.145,1.389,0.302,4.36,4.574,5.208,988.15,538.925,1115.74,561.57,333.64,116.052,276.722,128.902,1247.08,126.64,792.57,827.24,187.25,189.25,25.41
1,2/20/2001,256.7,-0.259,1477.0,196.21,112.82,115.67,1.442,28.58,24.69,5.459,5.105,4.727,5.026,5.576,5.324,4.818,4.495,5.01,5.808,5.23,4.647,2.104,1.39,0.278,4.42,4.637,5.241,988.87,538.016,1116.89,562.48,332.756,116.016,274.643,128.902,1213.2,122.96,783.23,775.06,182.01,188.48,24.86
1,2/27/2001,268.35,-0.225,1531.0,194.18,112.34,116.24,1.442,28.13,26.49,5.352,4.952,4.439,4.787,5.381,5.313,4.757,4.374,5.08,5.8,5.176,4.537,2.05,1.377,0.237,4.38,4.607,5.124,994.43,537.599,1126.01,561.45,331.515,114.563,273.192,128.902,1194.62,120.3,790.79,772.34,167.88,173.3,23.83
1,3/6/2001,260.3,-0.062,1527.0,196.3,111.12,118.82,1.467,28.32,25.89,5.381,4.971,4.47,4.725,5.275,5.307,4.751,4.426,4.81,5.801,5.179,4.571,1.795,1.194,0.254,4.339,4.566,5.196,994.28,539.122,1129.49,563.25,334.404,113.565,277.871,128.818,1186.59,121.74,773.77,787.65,185.89,168.9,22.11
1,3/13/2001,268.8,-0.044,1493.0,192.18,113.11,119.94,1.449,27.59,27.55,5.322,4.929,4.435,4.631,5.193,5.292,4.735,4.417,4.85,5.791,5.17,4.525,1.825,1.18,0.159,4.464,4.642,5.105,996.02,540.533,1131.89,561.79,333.145,112.845,277.228,128.818,1134.13,115.91,744.41,748.63,180.03,147.27,20.66
1,3/20/2001,262.85,-0.004,1508.0,185.63,114.11,122.65,1.428,25.96,30.96,5.26,4.758,4.205,4.507,4.98,5.315,4.699,4.264,4.78,5.797,5.134,4.45,1.803,1.139,0.09,4.371,4.527,4.978,1002.04,542.939,1141.75,555.82,328.366,110.326,273.414,128.818,1080.08,114.15,762.48,704.81,182.13,153.26,20.61
1,3/27/2001,261.3,0.002,1486.0,190.56,115.4,122.98,1.429,27.75,27.04,5.459,5.011,4.413,4.33,5.058,5.293,4.66,4.123,4.44,5.776,5.1,4.295,1.876,1.235,0.128,4.414,4.578,4.933,997.71,542.374,1133.22,552.69,326.944,107.991,272.976,128.818,1120.32,115.92,840.77,695.98,176.39,153.57,19.57
1,4/3/2001,256.68,-0.013,1424.0,183.6,115.63,125.39,1.432,26.19,34.72,5.466,4.929,4.122,4.123,5.056,5.354,4.711,4.141,4.85,5.816,5.139,4.306,2.025,1.325,0.179,4.604,4.753,4.916,1002.32,542.376,1136.33,547.77,324.017,108.118,271.162,126.84,1048.65,111.3,820.21,642.28,159.87,148.9,19.24
0,4/10/2001,257.1,0.005,1428.0,190.42,116.02,124.35,1.434,28.48,29.44,5.627,5.083,4.212,3.927,5.02,5.397,4.77,4.161,4.75,5.851,5.178,4.311,2.038,1.324,0.148,4.568,4.735,4.901,1002.25,540.552,1128.99,541.87,323.947,105.754,276.259,126.84,1108.31,118.27,794.52,701.5,168.65,142.11,19.05
0,4/17/2001,260.85,-0.007,1429.0,190.56,116.36,123.47,1.428,28.24,25.61,5.665,5.225,4.431,4.103,5.039,5.475,4.885,4.421,5.73,5.929,5.296,4.577,2.281,1.449,0.139,4.699,4.882,5.047,1000.45,537.743,1125.87,541.87,322.677,106.486,273.561,126.84,1130.59,118.03,808.25,659.85,167.01,137.33,19.77
0,4/24/2001,263.9,0.101,1460.0,185.97,115.23,122.08,1.438,26.86,28.49,5.758,5.209,4.134,3.782,4.506,5.522,4.962,4.526,5.5,5.967,5.36,4.659,2.265,1.357,0.11,4.754,4.923,4.948,1005.98,536.59,1131.39,542.39,318.695,105.837,264.913,126.84,1147.61,119.26,830.6,638.25,168.67,150.42,21.15
0,5/1/2001,264.4,0.31,1453.0,191.44,115.3,121.94,1.436,28.94,24.2,5.742,5.292,4.227,3.896,4.433,5.564,5.022,4.635,4.81,6.018,5.426,4.762,2.273,1.354,0.114,4.808,4.994,4.977,1004.69,536.775,1136.91,543.89,321.339,106.232,269.243,126.269,1202.83,122.36,880.25,691.66,183.77,146.62,21.86
0,5/8/2001,265.08,0.24,1460.0,189.2,116.08,121.53,1.429,27.39,24.44,5.738,5.245,4.112,3.699,4.35,5.511,4.948,4.47,4.81,5.954,5.332,4.621,2.3,1.306,0.104,4.715,4.906,4.885,1009.45,540.098,1142.72,549.07,325.236,107.541,273.435,126.269,1198.33,121.0,876.29,673.5,198.23,151.68,22.51
0,5/15/2001,267.5,0.219,1479.0,190.83,116.77,123.22,1.424,28.98,23.71,5.911,5.512,4.239,3.606,4.151,5.687,5.097,4.332,4.58,6.101,5.441,4.508,2.243,1.284,0.08,4.814,4.998,5.028,1004.37,540.102,1132.07,548.69,323.738,107.522,270.959,126.269,1186.3,121.2,857.81,643.52,195.24,150.15,21.83
0,5/22/2001,283.5,0.207,1442.0,192.25,117.69,122.8,1.425,29.74,21.35,5.778,5.41,4.326,3.658,4.09,5.654,5.111,4.387,4.54,6.053,5.487,4.573,2.212,1.281,0.067,4.783,4.98,5.117,1007.59,541.526,1139.67,549.07,327.025,107.736,278.322,126.269,1239.09,124.88,859.1,680.45,208.15,152.68,23.64
0,5/29/2001,274.85,-0.012,1408.0,185.27,118.22,120.15,1.421,28.66,22.14,5.86,5.515,4.312,3.707,4.064,5.713,5.151,4.323,4.59,6.103,5.521,4.511,2.093,1.278,0.068,4.943,5.118,5.287,1004.32,541.963,1136.44,550.63,326.65,108.391,276.591,126.269,1201.52,122.84,845.57,654.56,205.01,157.31,23.36
1,6/5/2001,265.83,0.153,1366.0,183.9,118.53,120.37,1.409,28.24,19.58,5.653,5.269,4.105,3.637,4.031,5.6,5.013,4.27,4.54,6.003,5.394,4.356,2.078,1.219,0.056,4.931,5.067,5.195,1014.25,544.681,1154.99,552.73,330.174,107.996,282.773,126.847,1217.21,123.19,816.18,672.05,219.95,145.53,23.35
1,6/12/2001,270.95,0.102,1358.0,186.16,119.61,121.85,1.378,29.18,20.7,5.652,5.253,4.061,3.545,4.0,5.65,5.083,4.356,4.53,6.045,5.439,4.438,2.032,1.202,0.059,5.033,5.175,5.408,1015.5,545.834,1155.85,552.95,331.282,106.475,285.816,126.847,1191.69,118.2,795.96,652.92,214.02,147.46,23.87
