,model,cv_score,cv_std,test_accuracy,precision,recall,f1_score
0,decision_tree,0.6623188405797101,0.17948541745119745,0.827426810477658,0.6216216216216216,0.49640287769784175,0.552
1,random_forest,0.532398316970547,0.23152465823557136,0.8536209553158706,0.6964285714285714,0.5611510791366906,0.6215139442231076
2,gradient_boost,0.7188172043010752,0.09980386511948948,0.8382126348228043,0.6517857142857143,0.5251798561151079,0.5816733067729084
