Metric,Value
Accuracy,0.8818181818181818
Precision,0.7777777777777778
Recall,0.6086956521739131
F1,0.6829268292682927
TN,83.0
FP,4.0
FN,9.0
TP,14.0
CV Score Mean,0.7598164384966416
CV Score Std,0.192996642440151
