Data,Y,VIX,VIX_lag_7,VIX_lag_14,GTITL2YR,GTITL2YR_lag_7,GTITL2YR_lag_14,GTITL10YR,GTITL10YR_lag_7,GTITL10YR_lag_14,GTITL30YR,GTITL30YR_lag_7,GTITL30YR_lag_14,MXJP,MXJP_lag_7,MXJP_lag_14,MXEU,MXEU_lag_7,MXEU_lag_14,LG30TRUU,LG30TRUU_lag_7,LG30TRUU_lag_14,MXUS,MXUS_lag_7,MXUS_lag_14,LF98TRUU,LF98TRUU_lag_7,LF98TRUU_lag_14,MXIN,MXIN_lag_7,MXIN_lag_14
2000-09-12,1,18.59,19.39,23.05,5.365,5.268,4.96,5.653,5.555,5.527,5.93,5.883,5.895,902.72,932.36,983.03,140.28,138.14,139.1,323.721,318.568,308.928,1416.78,1418.85,1412.52,555.43,548.7,535.51,208.56,187.73,196.46
2000-09-19,1,19.54,20.55,21.67,5.262,5.221,5.053,5.702,5.514,5.514,6.072,5.832,5.871,914.59,920.68,975.17,137.94,136.75,137.78,320.174,318.375,311.496,1394.02,1391.35,1419.28,552.35,546.73,538.48,185.62,183.7,197.81
2000-09-26,1,21.88,18.79,20.88,5.288,5.217,5.035,5.631,5.541,5.514,6.02,5.856,5.878,904.45,911.28,969.96,134.57,138.31,138.75,320.517,319.949,313.182,1365.01,1428.75,1425.88,551.46,548.71,541.37,177.45,185.28,212.98
2000-10-03,1,21.85,17.98,21.8,5.242,5.353,5.15,5.603,5.578,5.641,6.028,5.85,5.934,922.49,927.15,979.46,136.82,140.05,135.97,318.919,320.1,313.082,1358.24,1427.27,1402.53,545.44,547.07,541.69,176.43,182.66,203.46
2000-10-10,1,24.86,17.47,19.83,5.263,5.462,5.164,5.587,5.588,5.629,6.001,5.793,5.929,910.57,928.87,1001.01,133.35,140.42,136.71,319.078,319.968,314.589,1323.43,1435.93,1421.65,545.29,547.44,543.2,169.12,193.8,212.67
2000-10-17,0,27.84,16.89,20.11,5.263,5.422,5.171,5.604,5.668,5.564,6.04,5.876,5.933,882.09,956.92,999.85,131.93,140.11,137.9,312.811,320.804,315.563,1279.95,1450.16,1429.53,536.74,548.36,544.81,157.63,192.55,210.57
2000-10-24,0,24.28,19.82,19.75,5.333,5.331,5.32,5.604,5.578,5.659,6.011,5.83,5.971,873.58,925.11,956.45,138.67,143.36,139.64,311.37,324.452,317.09,1326.42,1442.61,1439.0,536.06,553.36,547.1,158.36,201.88,203.91
2000-10-31,0,23.63,18.59,19.39,5.322,5.365,5.268,5.599,5.653,5.555,6.034,5.93,5.883,860.75,902.72,932.36,139.34,140.28,138.14,309.482,323.721,318.568,1361.95,1416.78,1418.85,528.24,555.43,548.7,163.1,208.56,187.73
2000-11-07,0,24.91,19.54,20.55,5.283,5.262,5.221,5.622,5.702,5.514,6.071,6.072,5.832,890.65,914.59,920.68,138.69,137.94,136.75,307.034,320.174,318.375,1368.83,1394.02,1391.35,524.84,552.35,546.73,172.66,185.62,183.7
2000-11-14,1,26.81,21.88,18.79,5.219,5.288,5.217,5.578,5.631,5.541,6.068,6.02,5.856,853.25,904.45,911.28,136.99,134.57,138.31,307.996,320.517,319.949,1320.88,1365.01,1428.75,525.23,551.46,548.71,171.57,177.45,185.28
2000-11-21,1,26.62,21.85,17.98,5.222,5.242,5.353,5.564,5.603,5.578,6.031,6.028,5.85,834.6,922.49,927.15,135.15,136.82,140.05,307.889,318.919,320.1,1284.08,1358.24,1427.27,522.78,545.44,547.07,171.73,176.43,182.66
2000-11-28,0,27.64,24.86,17.47,5.164,5.263,5.462,5.464,5.587,5.588,5.927,6.001,5.793,837.18,910.57,928.87,133.65,133.35,140.42,304.499,319.078,319.968,1272.86,1323.43,1435.93,516.2,545.29,547.44,176.35,169.12,193.8
2000-12-05,1,24.99,27.84,16.89,4.963,5.263,5.422,5.335,5.604,5.668,5.891,6.04,5.876,835.0,882.09,956.92,133.32,131.93,140.11,302.027,312.811,320.804,1309.41,1279.95,1450.16,505.64,536.74,548.36,180.15,157.63,192.55
2000-12-12,1,24.88,24.28,19.82,4.929,5.333,5.331,5.363,5.604,5.578,5.931,6.011,5.83,855.16,873.58,925.11,134.94,138.67,143.36,305.415,311.37,324.452,1309.69,1326.42,1442.61,512.4,536.06,553.36,187.03,158.36,201.88
2000-12-19,1,27.17,23.63,18.59,4.791,5.322,5.365,5.28,5.599,5.653,5.879,6.034,5.93,815.57,860.75,902.72,131.7,139.34,140.28,308.385,309.482,323.721,1242.73,1361.95,1416.78,516.17,528.24,555.43,181.78,163.1,208.56
2000-12-26,1,28.73,24.91,19.54,4.672,5.283,5.262,5.273,5.622,5.702,5.874,6.071,6.072,810.45,890.65,914.59,126.39,138.69,137.94,309.96,307.034,320.174,1246.34,1368.83,1394.02,517.68,524.84,552.35,165.42,172.66,185.62
