Metric,Value
Accuracy,0.832579185520362
Precision,0.42857142857142855
Recall,0.8275862068965517
F1,0.5647058823529412
TN,160.0
FP,32.0
FN,5.0
TP,24.0
CV Score Mean,0.58770887665411
CV Score Std,0.2005671458761885
