VIX,VIX_lag_7,VIX_lag_2,VIX_lag_4,GTITL2YR,GTITL2YR_lag_7,GTITL2YR_lag_2,GTITL2YR_lag_4,GTITL10YR,GTITL10YR_lag_7,GTITL10YR_lag_2,GTITL10YR_lag_4,GTITL30YR,GTITL30YR_lag_7,GTITL30YR_lag_2,GTITL30YR_lag_4,MXJP,MXJP_lag_7,MXJP_lag_2,MXJP_lag_4,MXEU,MXEU_lag_7,MXEU_lag_2,MXEU_lag_4,LP01TREU,LP01TREU_lag_7,LP01TREU_lag_2,LP01TREU_lag_4,LG30TRUU,LG30TRUU_lag_7,LG30TRUU_lag_2,LG30TRUU_lag_4,MXUS,MXUS_lag_7,MXUS_lag_2,MXUS_lag_4,LF98TRUU,LF98TRUU_lag_7,LF98TRUU_lag_2,LF98TRUU_lag_4,MXIN,MXIN_lag_7,MXIN_lag_2,MXIN_lag_4,EONIA,EONIA_lag_7,EONIA_lag_2,EONIA_lag_4
23.62,27.25,24.34,28.5,5.11,4.583,5.028,4.854,5.603,5.443,5.706,5.625,5.913,5.843,5.975,5.963,943.51,1028.54,1002.21,1031.16,135.69,136.71,140.15,142.61,115.248,120.212,120.103,122.279,305.059,311.358,306.731,309.898,1379.85,1468.75,1426.88,1409.11,531.96,538.45,538.5,537.67,181.38,262.49,183.77,193.26,4.02,3.58,3.9,3.93
23.05,26.12,25.87,28.93,4.96,4.622,5.151,4.956,5.527,5.535,5.743,5.705,5.895,5.929,6.033,5.989,983.03,967.7,942.83,1012.28,139.1,132.97,132.59,137.33,116.452,120.195,117.021,121.607,308.928,309.803,303.868,306.686,1412.52,1410.47,1337.55,1375.57,535.51,537.47,535.5,537.98,196.46,219.97,169.39,200.09,4.16,3.61,3.79,4.03
21.67,25.24,23.62,24.34,5.053,4.73,5.11,5.028,5.514,5.62,5.603,5.706,5.871,5.986,5.913,5.975,975.17,1008.62,943.51,1002.21,137.78,137.08,135.69,140.15,115.91,121.397,115.248,120.103,311.496,310.946,305.059,306.731,1419.28,1439.63,1379.85,1426.88,538.48,538.79,531.96,538.5,197.81,207.69,181.38,183.77,4.33,3.35,4.02,3.9
20.88,28.5,23.05,25.87,5.035,4.854,4.96,5.151,5.514,5.625,5.527,5.743,5.878,5.963,5.895,6.033,969.96,1031.16,983.03,942.83,138.75,142.61,139.1,132.59,116.42,122.279,116.452,117.021,313.182,309.898,308.928,303.868,1425.88,1409.11,1412.52,1337.55,541.37,537.67,535.51,535.5,212.98,193.26,196.46,169.39,4.24,3.93,4.16,3.79
21.8,28.93,21.67,23.62,5.15,4.956,5.053,5.11,5.641,5.705,5.514,5.603,5.934,5.989,5.871,5.913,979.46,1012.28,975.17,943.51,135.97,137.33,137.78,135.69,116.769,121.607,115.91,115.248,313.082,306.686,311.496,305.059,1402.53,1375.57,1419.28,1379.85,541.69,537.98,538.48,531.96,203.46,200.09,197.81,181.38,4.51,4.03,4.33,4.02
19.83,24.34,20.88,23.05,5.164,5.028,5.035,4.96,5.629,5.706,5.514,5.527,5.929,5.975,5.878,5.895,1001.01,1002.21,969.96,983.03,136.71,140.15,138.75,139.1,115.863,120.103,116.42,116.452,314.589,306.731,313.182,308.928,1421.65,1426.88,1425.88,1412.52,543.2,538.5,541.37,535.51,212.67,183.77,212.98,196.46,4.75,3.9,4.24,4.16
20.11,25.87,21.8,21.67,5.171,5.151,5.15,5.053,5.564,5.743,5.641,5.514,5.933,6.033,5.934,5.871,999.85,942.83,979.46,975.17,137.9,132.59,135.97,137.78,115.989,117.021,116.769,115.91,315.563,303.868,313.082,311.496,1429.53,1337.55,1402.53,1419.28,544.81,535.5,541.69,538.48,210.57,169.39,203.46,197.81,4.31,3.79,4.51,4.33
19.75,23.62,19.83,20.88,5.32,5.11,5.164,5.035,5.659,5.603,5.629,5.514,5.971,5.913,5.929,5.878,956.45,943.51,1001.01,969.96,139.64,135.69,136.71,138.75,116.255,115.248,115.863,116.42,317.09,305.059,314.589,313.182,1439.0,1379.85,1421.65,1425.88,547.1,531.96,543.2,541.37,203.91,181.38,212.67,212.98,4.31,4.02,4.75,4.24
19.39,23.05,20.11,21.8,5.268,4.96,5.171,5.15,5.555,5.527,5.564,5.641,5.883,5.895,5.933,5.934,932.36,983.03,999.85,979.46,138.14,139.1,137.9,135.97,116.702,116.452,115.989,116.769,318.568,308.928,315.563,313.082,1418.85,1412.52,1429.53,1402.53,548.7,535.51,544.81,541.69,187.73,196.46,210.57,203.46,3.98,4.16,4.31,4.51
20.55,21.67,19.75,19.83,5.221,5.053,5.32,5.164,5.514,5.514,5.659,5.629,5.832,5.871,5.971,5.929,920.68,975.17,956.45,1001.01,136.75,137.78,139.64,136.71,116.071,115.91,116.255,115.863,318.375,311.496,317.09,314.589,1391.35,1419.28,1439.0,1421.65,546.73,538.48,547.1,543.2,183.7,197.81,203.91,212.67,4.35,4.33,4.31,4.75
